NAICs,STATE,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
511210,CA,157257,134373,142239,142373,133523,124289,120786,106773,105543,116422,134369
518,CA,123711,98764,96193,95293,127900,132980,123145,94600,78437,80320,95435
519130,CA,170487,156936,157269,180009,*,*,*,*,*,*,*
52,CA,202247,252027,258180,253241,241122,237116,213610,216604,206683,200575,191665
522320,CA,86263,72577,88973,87132,78719,81129,85147,53380,82162,77020,69770
54151,CA,163083,233654,229753,153898,144928,133541,124932,126262,133652,134736,139674
611420,CA,53279,55671,57636,58059,53805,50333,45086,44869,45802,47010,45648
811212,CA,49107,48620,48441,47079,46498,45193,46272,45522,42610,41181,36590
811213,CA,48491,44921,48291,53220,47172,44098,39431,39896,44567,41043,36908
10,CO,305152,301047,296659,285974,275909,266752,258692,248469,241986,234466,225565
11,CO,29096,28613,28403,26764,25358,24441,24055,23319,22684,22346,21578
323115,CO,39931,43811,45176,45292,48479,55145,42849,43336,45236,42254,41328
33411,CO,103486,97307,94569,100655,103609,107626,92422,91275,84442,79185,78986
334611,CO,111989,102307,101017,113666,103258,95008,102566,99296,91257,90996,114686
423430,CO,124723,114832,115170,118075,110100,102827,98304,100512,96224,96003,117319
425110,CO,93569,89092,87568,97542,87020,83651,79507,79135,66371,71765,76063
443120,CO,69953,55019,53422,51477,46449,45000,45017,41789,39040,40493,46087
454111,CO,53078,49156,50729,50645,52023,53683,49540,46669,48698,51054,*
51,CO,160958,153597,153075,154757,151299,141425,137229,130072,121376,120838,126020
511210,CO,110521,107215,105507,102554,95917,91973,85293,81964,78952,78198,78406
518,CO,87514,83239,89262,79112,79683,77077,68956,62908,63074,67755,70051
519130,CO,82237,78789,78287,91736,*,*,*,*,*,*,*
52,CO,223379,204304,194519,190611,185363,179994,166203,162605,160785,156314,147803
522320,CO,75485,69047,67977,73774,61009,51233,52547,54852,48691,49863,49211
54151,CO,146366,139738,145301,135166,130859,127897,114114,115220,74250,75829,76106
611420,CO,0,0,0,0,0,0,0,0,0,54541,*
811212,CO,49573,45544,46017,43156,43071,40797,40869,39657,41446,39673,38321
811213,CO,44563,44779,45950,43978,40968,39527,40029,40650,37606,35818,38210
10,CT,349989,347503,338829,332705,313310,312287,303683,285381,277395,271718,261487
11,CT,28924,28794,28410,27639,26829,25996,25373,24755,24596,23928,23667
323115,CT,40213,39802,38595,36213,35536,33432,32961,35678,32611,38513,*
33411,CT,64698,66717,69438,66867,68043,67115,71204,66086,60663,54403,57228
334611,CT,*,*,*,*,0,0,0,0,0,0,*
423430,CT,121001,117876,118269,127382,113024,102265,102631,107847,102030,110540,138971
425110,CT,80620,78238,84417,81505,73251,71689,71429,72986,68815,74510,70859
443120,CT,85090,80758,74816,74797,72196,69828,66000,63403,63914,63593,58930
454111,CT,0,0,0,0,0,0,0,0,0,0,*
51,CT,233116,233840,157689,156264,149640,146328,139934,132984,126945,126833,78956
511210,CT,115445,105063,111363,125807,101344,104961,102434,95269,94641,91007,91223
518,CT,69931,64988,61619,61023,70618,65967,65618,60072,59923,61360,62792
519130,CT,157876,132904,102625,102971,*,*,*,*,*,*,*
52,CT,246664,223383,234810,234663,217808,210692,196728,178965,169916,167700,160892
522320,CT,69358,69699,71403,79246,95039,98899,113826,99355,78191,68249,71663
54151,CT,101386,183458,183442,97427,92252,92177,89509,86711,86207,87810,87821
611420,CT,72383,61553,52679,50941,50292,54597,50084,46370,38675,38711,36273
811212,CT,53023,56555,54383,58206,57794,54749,56175,44854,42308,43853,48124
811213,CT,47309,52215,52431,45456,44234,43294,42486,54591,52101,53790,47058
10,DE,301878,303762,300879,292169,282998,272421,263304,252100,247464,230368,222993
11,DE,0,0,0,33084,31203,31043,30604,27461,26387,0,23870
323115,DE,46687,44729,43109,38415,36137,33569,30005,29154,0,23346,*
33411,DE,95372,0,76961,0,167515,312484,0,0,0,0,*
334611,DE,0,0,0,0,0,0,0,0,0,0,*
423430,DE,91177,79831,83860,81412,76650,73666,69343,66444,68915,80874,102759
425110,DE,52252,51795,54344,163769,66880,60839,62896,51021,44782,47557,46362
443120,DE,45263,52027,0,0,0,25989,26019,28854,27901,26622,24793
454111,DE,34996,32728,34032,32109,36452,31240,0,0,0,0,*
51,DE,90096,93193,55062,54658,53777,52195,53341,51284,50864,50115,49347
511210,DE,82285,78616,76258,82409,75585,77036,71933,54580,59381,65380,85470
518,DE,78342,78889,78810,78339,74585,73277,72450,69388,70585,67637,69550
519130,DE,68265,71693,86533,66672,*,*,*,*,*,*,*
52,DE,163533,148966,152905,153722,153759,154306,132956,128551,115606,108763,97347
522320,DE,73786,78956,79851,96588,76001,73377,102520,100252,67931,50924,46709
54151,DE,78826,149921,135928,136847,148734,73567,73568,73482,70149,70440,65902
611420,DE,59498,59275,62363,61746,0,58709,53110,46818,0,51806,51158
811212,DE,52593,50793,49745,52006,48152,54807,57108,61795,57339,43307,46276
811213,DE,36387,38891,37442,35068,34362,33235,33257,38370,33856,38482,*
10,DC,489233,476843,463482,438707,420638,398515,382698,364089,351198,337198,318273
11,DC,*,*,*,*,*,*,*,*,0,0,80368
323115,DC,161284,154154,154649,161760,153701,79009,78791,127845,65439,62957,62067
33411,DC,0,0,0,0,0,92136,95700,88010,83401,71889,75859
334611,DC,0,84033,94854,78697,0,0,0,0,0,0,*
423430,DC,142022,135338,123691,121574,104371,104517,95756,90262,80034,85781,78893
425110,DC,0,0,0,0,0,0,0,0,0,40164,*
443120,DC,81406,76183,94680,89749,74884,78316,86759,98079,79450,75471,53084
454111,DC,0,43400,38860,41255,53961,60509,51099,0,0,0,*
51,DC,193179,190007,191071,176602,169702,164970,153136,143933,137826,58882,127064
511210,DC,131582,132302,143888,149577,139132,119050,116347,121686,115399,119721,81113
518,DC,112568,98094,95629,82577,92653,83159,76795,69763,66897,70777,59324
519130,DC,108317,97009,106186,97754,*,*,*,*,*,*,*
52,DC,252328,235081,247403,245281,228735,214862,206574,190090,182380,182758,176270
522320,DC,0,28227,33971,0,61520,68015,82009,78688,80030,68172,54517
54151,DC,92329,88872,86151,82826,78852,73792,70837,67001,65107,62454,57603
