NAICs,STATE,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
443120,CO,177,187,188,205,226,247,269,279,317,339,398
454111,CO,492,501,488,503,464,373,233,215,169,148,*
51,CO,3221,3308,3406,3530,3623,3574,3592,3775,3933,4200,3942
511210,CO,414,437,473,500,530,562,608,684,753,813,772
518,CO,387,373,380,388,608,582,564,612,637,658,559
519130,CO,297,294,278,252,*,*,*,*,*,*,*
52,CO,10369,10744,11275,11576,11455,11063,10610,9968,9447,9031,8726
522320,CO,125,117,130,134,126,103,98,95,88,86,65
54151,CO,6757,6523,6369,6168,5779,5252,4769,4575,4582,4648,4243
611420,CO,111,121,130,137,132,134,133,0,0,167,*
811212,CO,166,180,193,201,217,200,190,191,180,174,177
811213,CO,38,38,39,40,38,38,39,40,45,47,51
10,CT,225583,227652,229694,228291,226055,223671,221445,220462,219449,220082,219524
11,CT,379,374,361,358,354,353,348,352,334,326,313
323115,CT,23,23,22,22,21,20,17,16,14,16,*
33411,CT,14,14,13,13,15,17,21,28,27,27,27
334611,CT,*,*,*,*,1,1,2,0,0,0,*
423430,CT,169,167,181,192,193,206,208,226,234,245,240
425110,CT,35,37,40,43,49,61,68,91,121,129,126
443120,CT,154,163,178,186,192,200,206,219,250,284,309
454111,CT,106,102,101,99,85,70,51,0,0,0,*
51,CT,1908,1963,1958,1917,1943,1937,1878,1883,1998,2114,2131
511210,CT,81,81,87,87,87,96,101,103,110,118,130
518,CT,147,155,149,144,252,245,270,306,370,435,429
519130,CT,165,159,142,122,*,*,*,*,*,*,*
52,CT,7171,7240,7348,7277,7087,6929,6675,6532,6349,6313,6212
522320,CT,82,76,71,65,58,54,46,42,37,35,30
54151,CT,2921,2858,2778,2663,2521,2424,2408,2458,2564,2688,2618
611420,CT,26,30,29,28,33,37,46,49,59,63,60
811212,CT,84,74,74,76,78,75,79,82,84,81,82
811213,CT,18,17,16,18,18,19,21,20,24,22,23
10,DE,57613,58790,60868,62399,60801,60892,58749,53778,51521,50739,49375
11,DE,160,150,150,148,150,151,147,142,140,0,150
323115,DE,15,14,12,8,6,5,5,4,0,3,*
33411,DE,5,3,3,4,4,3,3,0,0,0,*
334611,DE,2,1,1,1,1,2,2,0,0,0,*
423430,DE,62,63,58,49,49,56,63,66,74,92,94
425110,DE,17,19,25,27,29,33,41,37,34,33,26
443120,DE,44,45,52,50,48,50,49,47,49,49,54
454111,DE,42,37,35,34,23,15,11,0,0,0,*
51,DE,379,370,361,348,325,336,341,330,334,320,273
511210,DE,29,25,26,22,18,19,22,22,24,28,30
518,DE,46,39,38,44,63,69,65,62,56,55,49
519130,DE,21,22,19,11,*,*,*,*,*,*,*
52,DE,1645,1685,1677,1641,1507,1463,1383,1293,1217,1176,1118
522320,DE,31,33,33,26,24,23,19,16,13,12,14
54151,DE,1128,1099,1096,1120,1098,1091,1037,891,746,719,669
611420,DE,16,15,15,14,12,13,13,13,0,11,9
811212,DE,37,37,39,45,47,47,44,37,36,35,32
811213,DE,6,8,11,12,9,8,7,6,6,7,*
10,DC,69878,68458,68150,67324,63965,61601,59911,59326,56284,57084,57603
11,DC,*,*,*,*,*,*,*,*,0,0,4
323115,DC,10,11,11,10,9,7,7,7,1,1,1
33411,DC,2,2,2,2,2,4,5,10,9,13,13
334611,DC,4,5,6,7,5,8,13,0,0,0,*
423430,DC,36,41,41,32,34,37,35,29,22,29,33
425110,DC,4,3,3,4,4,4,5,0,0,6,*
443120,DC,18,18,21,24,30,33,42,55,57,62,52
454111,DC,18,18,21,19,19,15,8,0,0,0,*
51,DC,890,900,934,925,912,938,1033,1128,1131,2,1234
511210,DC,41,34,43,43,43,48,62,67,60,71,82
518,DC,44,41,42,40,107,123,157,195,205,258,245
519130,DC,77,69,77,72,*,*,*,*,*,*,*
52,DC,1071,1095,1117,1031,969,939,919,936,949,920,910
522320,DC,6,7,9,11,10,10,12,11,13,14,14
54151,DC,1828,1723,1663,1460,1198,1109,1020,932,820,793,708
611420,DC,19,17,16,15,13,14,16,17,13,0,12
811212,DC,14,17,20,19,16,15,14,11,7,10,12
811213,DC,*,*,*,*,*,1,2,0,0,0,*
10,FL,1191068,1196497,1244984,1211217,1169720,1120768,1053292,995105,955885,913897,901898
11,FL,4897,4931,5044,5045,4976,5023,4888,4905,4965,4934,4990
323115,FL,227,217,207,183,157,134,95,69,61,52,53
