OCC,STATE,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
45-0000,AK,*,33960,35560,37650,35200,33520,35800,35800,38430,37500,36280
49-2011,AK,43610,43940,45040,42520,42900,47350,47910,50580,37990,38900,38530
11-3021,AZ,106810,106220,102220,98630,91740,87690,90000,85010,81250,77570,73650
13-0000,AZ,61060,58830,57290,55050,54680,52660,53460,52280,48640,47200,45230
13-1081,AZ,70230,64660,65200,63490,67630,66820,65650,*,*,*,*
13-1111,AZ,68730,71340,69950,66630,66760,64210,67220,67860,52960,54980,50360
15-0000,AZ,74450,71200,69360,64640,61730,59580,59560,60760,56890,58270,56990
15-1011,AZ,*,104060,97750,87290,80490,78410,61540,78610,74960,68910,67450
15-1021,AZ,*,72230,70020,66840,61590,59850,58880,58800,57310,55730,53020
15-1031,AZ,*,84680,75950,73480,72180,71430,71830,82830,72170,82820,87640
15-1032,AZ,*,84070,82080,79840,78570,77140,76920,73020,71430,70320,68790
15-1041,AZ,*,48400,49000,47090,45490,43770,43850,42910,41920,41320,37380
15-1051,AZ,*,84690,86950,69940,67760,64760,65040,68270,63840,68910,65000
15-1061,AZ,*,67520,64940,62710,58820,58530,62110,58590,59420,58080,59390
15-1071,AZ,*,66380,64880,63390,61470,58720,59210,57150,55750,55570,52020
15-1081,AZ,*,69000,65250,62210,60040,57800,59830,60110,58850,63340,58760
15-1099,AZ,*,73120,68890,63690,59630,46150,53400,*,*,*,*
15-1111,AZ,102190,*,*,*,*,*,*,*,*,*,*
15-1121,AZ,87790,*,*,*,*,*,*,*,*,*,*
15-1131,AZ,74420,*,*,*,*,*,*,*,*,*,*
15-1132,AZ,89820,*,*,*,*,*,*,*,*,*,*
15-1133,AZ,95280,*,*,*,*,*,*,*,*,*,*
15-1141,AZ,68230,*,*,*,*,*,*,*,*,*,*
15-1142,AZ,68360,*,*,*,*,*,*,*,*,*,*
15-1150,AZ,48240,*,*,*,*,*,*,*,*,*,*
15-1179,AZ,70530,*,*,*,*,*,*,*,*,*,*
15-1799,AZ,73430,*,*,*,*,*,*,*,*,*,*
15-2031,AZ,66110,64170,63100,57320,56420,53990,54530,54020,51340,49580,46740
17-0000,AZ,73980,70850,66790,64470,63530,63410,62210,59040,56230,55180,51640
17-2061,AZ,91370,*,*,85290,80360,88320,*,*,*,*,68260
17-2112,AZ,92940,84990,79070,71020,66870,66050,66800,65950,60930,59070,56830
17-3026,AZ,49060,43320,39640,42240,41830,47830,47180,47660,43230,45220,47350
19-0000,AZ,56220,57830,57320,54120,51690,49620,50880,50150,47560,45700,43730
25-1021,AZ,79900,66570,67960,61000,57230,52130,51560,44910,41990,42860,47680
27-0000,AZ,45220,45080,43970,41140,40930,37810,37390,37450,37020,36420,34840
27-1014,AZ,56690,53610,52200,42780,46340,45230,37060,36290,33410,*,38230
27-1024,AZ,43480,44290,44070,43080,42850,38440,37920,34650,34560,37370,34580
27-3042,AZ,62810,62270,63010,61090,58310,54090,49870,46900,46830,46360,41910
29-2071,AZ,34720,33590,30450,29350,29650,27320,27200,24870,24650,25040,25200
41-4011,AZ,79560,71450,65520,61560,54010,52180,50430,49620,50690,50640,51190
43-9011,AZ,39970,37290,33870,30760,28660,29940,29930,29140,27750,26970,25440
43-9021,AZ,28390,29160,28460,28420,27740,25720,24830,22820,22500,22080,21420
43-9031,AZ,40830,38010,38800,37650,35250,28470,26500,25970,31540,37000,35620
45-0000,AZ,19790,19970,19860,19240,17880,16160,16950,16440,16500,15840,15960
49-2011,AZ,40820,40850,39240,37490,40030,38700,38420,34060,32780,32620,29880
51-4011,AZ,36890,35640,35980,33300,33960,32760,32810,32020,30690,29860,28950
51-4012,AZ,57200,54790,45600,43350,46460,46320,47420,43260,34610,34780,29720
11-3021,AR,98880,99320,95880,86670,78800,76000,78710,76770,76710,68370,64890
