OCC,STATE,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
15-1021,DC,*,77620,77870,73790,71030,65480,66780,66110,64670,60440,53260
15-1031,DC,*,88300,85700,80230,78430,70890,75100,75640,74400,62070,59580
15-1032,DC,*,95120,89990,85160,80470,82770,83850,88800,77350,79000,76520
15-1041,DC,*,57920,55350,51770,49970,46550,46030,43890,42840,41720,38140
15-1051,DC,*,84450,84630,80190,75540,81870,79500,74710,76560,70670,66960
15-1061,DC,*,79300,75630,66480,63460,57820,59880,57440,58620,62050,57360
15-1071,DC,*,79170,75920,74380,71580,72950,66470,61760,58970,58020,55680
15-1081,DC,*,83510,77010,73250,70000,68130,69070,68050,63240,63400,58720
15-1099,DC,*,104080,97570,91650,89560,63890,61960,*,*,*,*
15-1111,DC,118610,*,*,*,*,*,*,*,*,*,*
15-1121,DC,85000,*,*,*,*,*,*,*,*,*,*
15-1131,DC,80330,*,*,*,*,*,*,*,*,*,*
15-1132,DC,92430,*,*,*,*,*,*,*,*,*,*
15-1133,DC,92440,*,*,*,*,*,*,*,*,*,*
15-1141,DC,79450,*,*,*,*,*,*,*,*,*,*
15-1142,DC,81500,*,*,*,*,*,*,*,*,*,*
15-1150,DC,58850,*,*,*,*,*,*,*,*,*,*
15-1179,DC,82920,*,*,*,*,*,*,*,*,*,*
15-1799,DC,105460,*,*,*,*,*,*,*,*,*,*
15-2031,DC,93730,88880,88340,80880,82940,76760,76910,72820,72670,72580,68570
17-0000,DC,96830,95200,90710,87100,86550,80570,78010,70680,67690,66930,61840
17-2061,DC,109410,116660,110870,94260,92110,85100,66510,70480,62090,52940,61960
17-2112,DC,89810,95880,92420,81320,87100,87260,90520,-1,68320,67540,68930
17-3026,DC,54410,*,*,52970,51360,54470,55280,*,*,*,*
19-0000,DC,98440,92940,88510,82250,79400,77690,77960,76530,73440,70470,69310
25-1021,DC,80090,73740,63480,61270,56340,55590,57810,62530,58870,56470,54760
27-0000,DC,74240,79900,78740,73170,68290,63480,61330,56910,53270,50540,49480
27-1014,DC,62670,58350,78470,80150,-1,56300,53470,50210,45780,46120,49720
27-1024,DC,66020,68110,66560,64520,60180,58840,50860,47470,47070,43300,46810
27-3042,DC,62890,72310,70220,65060,62140,60730,63110,61150,56190,53950,54510
29-2071,DC,43140,41290,41470,36880,37170,35480,35890,33460,31300,30670,27140
41-4011,DC,84740,98830,89920,85050,71340,63950,59730,59300,63810,46950,52710
43-9011,DC,54930,55050,52600,47550,48420,43590,42660,40660,38020,32910,31860
43-9021,DC,39000,38410,35300,34680,32430,29570,29490,29360,28260,28550,26650
43-9031,DC,51770,-1,-1,43290,43900,41100,42760,41090,38970,41680,41620
45-0000,DC,*,*,*,*,*,*,*,45390,*,28630,24540
49-2011,DC,45880,49210,53830,55350,50150,*,43220,42860,41380,38000,35350
11-3021,FL,121720,119230,118260,111000,101390,95860,93170,94850,85970,80700,74600
13-0000,FL,60020,59210,58820,57580,55550,54290,53460,53350,50590,47310,44080
13-1081,FL,65220,65020,64810,61940,59020,56600,57300,*,*,*,*
13-1111,FL,74160,74760,76750,76240,72550,75530,72010,74940,75240,62570,54150
15-0000,FL,67140,65050,64230,61980,60310,58530,58480,57500,56000,53740,50270
15-1011,FL,*,86480,88430,97230,90510,83520,73320,74400,77340,75180,71080
15-1021,FL,*,65290,66120,66970,65380,63930,63560,64030,62200,57850,55240
15-1031,FL,*,82630,79340,74920,71530,75630,75600,74300,70720,65260,61240
15-1032,FL,*,86350,83280,81010,77770,75730,74150,72090,71370,66920,67500
15-1041,FL,*,40320,40430,37900,38170,36880,37340,37020,35360,34940,31270
15-1051,FL,*,70700,68950,65620,62940,61290,62020,59900,59620,57920,55130
15-1061,FL,*,69640,66420,63840,60670,57450,56410,52510,54260,53500,52220
15-1071,FL,*,69520,68650,66220,62680,60170,57970,55380,54650,54120,51400
15-1081,FL,*,69960,66740,61450,58080,55260,55820,57120,58070,59790,57100
15-1099,FL,*,63260,61760,62240,62620,53560,60760,*,*,*,*
15-1111,FL,88430,*,*,*,*,*,*,*,*,*,*
15-1121,FL,75870,*,*,*,*,*,*,*,*,*,*
15-1131,FL,65110,*,*,*,*,*,*,*,*,*,*
15-1132,FL,79990,*,*,*,*,*,*,*,*,*,*
15-1133,FL,88000,*,*,*,*,*,*,*,*,*,*
15-1141,FL,71410,*,*,*,*,*,*,*,*,*,*
15-1142,FL,72050,*,*,*,*,*,*,*,*,*,*
15-1150,FL,43250,*,*,*,*,*,*,*,*,*,*
15-1179,FL,69330,*,*,*,*,*,*,*,*,*,*
15-1799,FL,64780,*,*,*,*,*,*,*,*,*,*
15-2031,FL,56330,57700,57600,57830,53450,52320,51320,53490,55680,56720,55100
17-0000,FL,66930,65070,63620,61020,58980,56580,55710,54260,51850,49770,47860
17-2061,FL,85240,77410,81040,79210,86110,80000,77010,75530,70700,66720,64440
17-2112,FL,67990,68640,66760,66830,62890,61220,61420,59960,60990,60010,58950
17-3026,FL,44770,42680,43600,44590,44120,41860,41530,38720,41430,38820,37120
19-0000,FL,58120,58190,56080,54710,52630,50360,50020,48110,46370,44540,41430
25-1021,FL,82570,78250,67880,68580,67150,61280,61080,59600,62030,62050,55350
27-0000,FL,46400,46410,45850,43720,42430,41110,40310,38570,36240,35380,32720
27-1014,FL,54440,54820,49140,49870,47520,51020,48590,46470,42470,44520,46110
27-1024,FL,42700,41600,40600,38470,37590,37310,36280,37150,35170,34520,30600
27-3042,FL,55670,54840,56240,58930,55870,52790,49260,45620,43560,41350,41880
29-2071,FL,33860,32130,31860,30540,29840,28080,27380,25370,24490,24330,23460
41-4011,FL,85470,77330,73260,68550,68150,65460,64870,60020,56760,53730,50410
43-9011,FL,35620,35440,36280,36290,34690,33080,32330,31150,29760,27860,25040
43-9021,FL,26710,26440,25930,25200,24650,23790,23290,22020,21040,20410,19920
43-9031,FL,33150,32480,31770,39230,36830,39750,32300,29380,30720,29940,30000
45-0000,FL,21270,21510,21390,20820,19740,18300,16820,16050,16700,16550,16780
49-2011,FL,37010,36300,37610,37220,37480,36170,34240,32590,31400,29890,30690
51-4011,FL,33890,32870,30670,29600,29050,28810,28460,28480,27560,26870,25930
51-4012,FL,43680,41550,40040,38940,41580,40650,39090,35660,36600,36360,34400
11-3021,GA,113140,112720,110450,106420,100100,98730,97060,96650,90970,85810,83510
13-0000,GA,69970,69080,65680,62720,59630,57540,55070,54690,51520,48440,47720
13-1081,GA,70060,67750,65630,63780,62580,57290,56590,*,*,*,*
13-1111,GA,98780,96260,89650,86400,85790,83330,74800,74400,69640,58000,57180
15-0000,GA,74360,73690,71990,67330,64850,63460,63080,63630,59850,58120,56310
15-1011,GA,*,100670,105260,95570,84640,71300,69810,64860,63530,64860,62170
15-1021,GA,*,73320,73460,71980,73430,71660,69920,-1,58240,57410,55190
15-1031,GA,*,90370,91380,83190,79160,71970,70730,67740,65360,75020,74020
15-1032,GA,*,92280,89170,81010,77550,74910,74890,74050,70970,70310,67830
15-1041,GA,*,47100,45270,42380,41060,41600,42090,45660,39890,41260,37980
15-1051,GA,*,81220,80650,75680,73460,72400,70820,69810,71310,64890,62840
15-1061,GA,*,73990,73960,71900,69710,65230,64060,67670,63810,60520,60150
15-1071,GA,*,70980,68560,67300,64160,61030,60170,58210,57850,56440,54360
15-1081,GA,*,77200,73160,68810,63030,61120,63710,61100,58770,57190,52490
15-1099,GA,*,76740,72830,70210,63810,54120,54590,*,*,*,*
15-1111,GA,92990,*,*,*,*,*,*,*,*,*,*
15-1121,GA,81230,*,*,*,*,*,*,*,*,*,*
15-1131,GA,73100,*,*,*,*,*,*,*,*,*,*
15-1132,GA,89840,*,*,*,*,*,*,*,*,*,*
15-1133,GA,95970,*,*,*,*,*,*,*,*,*,*
15-1141,GA,78030,*,*,*,*,*,*,*,*,*,*
15-1142,GA,72630,*,*,*,*,*,*,*,*,*,*
15-1150,GA,46770,*,*,*,*,*,*,*,*,*,*
15-1179,GA,78510,*,*,*,*,*,*,*,*,*,*
15-1799,GA,78550,*,*,*,*,*,*,*,*,*,*
15-2031,GA,70240,66240,64430,59060,60570,57750,60050,55380,56480,50430,49980
17-0000,GA,69190,67890,64690,62880,59590,58240,57360,56220,53820,53120,50690
17-2061,GA,101400,96340,82190,84030,81310,80450,84850,75180,76900,76050,74240
17-2112,GA,79260,76880,73130,70620,67140,65750,65670,63920,61750,60780,57840
17-3026,GA,50210,48330,50780,52440,52560,48190,47420,45790,47490,39620,38690
19-0000,GA,61620,60270,58370,58990,55850,55790,54450,51030,47570,44830,44130
25-1021,GA,67420,70110,71040,65350,62250,62770,61030,69140,63710,59400,53370
27-0000,GA,49620,49130,48720,48740,44290,42020,42190,40890,37690,36330,33920
27-1014,GA,54070,50100,46480,45430,47610,43330,46410,45580,47040,48140,47340
27-1024,GA,48760,48100,47690,47800,45000,42820,42310,42290,40550,37850,36410
27-3042,GA,65150,68760,65240,64130,57510,57270,53830,54840,52800,50480,51970
29-2071,GA,32250,29790,29350,28630,27840,28090,27230,27710,25820,25340,23890
41-4011,GA,79350,79550,80300,79180,78760,80150,77710,65680,63890,57680,56810
43-9011,GA,37350,36850,36180,34110,30940,32870,32500,33070,33100,29720,29650
43-9021,GA,28010,28690,27260,26770,26040,25060,25210,24160,22750,22380,21430
43-9031,GA,43680,45420,42740,35710,32470,29830,30320,29680,30640,29230,27070
45-0000,GA,27890,26720,24750,24310,23050,21630,20590,20420,19960,19990,19070
49-2011,GA,39980,39270,39760,38710,37950,36650,37110,34270,39220,37580,37200
51-4011,GA,35600,33800,33260,29790,29260,28510,28370,28990,28270,27800,27380
51-4012,GA,42200,42140,40100,38400,40150,37230,38170,42650,40450,35460,32810
11-3021,HI,101870,103660,100620,96700,89870,86290,86420,81850,77760,69240,67660
13-0000,HI,60410,58290,56770,55570,56210,54840,54370,52190,49990,46960,46220
13-1081,HI,72480,73680,70470,71880,73650,48810,47690,*,*,*,*
13-1111,HI,77670,71210,67410,68670,69690,67920,66350,63430,63520,59730,59700
15-0000,HI,67920,66440,64460,62630,60770,58880,59120,56650,56030,51550,51210
15-1011,HI,*,96090,90960,*,*,72940,77890,76130,70360,64310,63570
15-1021,HI,*,64010,62260,59710,58470,55900,57570,54770,49650,45550,43360
15-1031,HI,*,73890,74740,76560,72730,68940,67980,68930,61860,65040,60750
15-1032,HI,*,85930,86420,86470,79470,77850,79830,74330,70020,63690,56990
15-1041,HI,*,47240,44100,42020,39500,37700,38400,40230,46250,46630,49290
15-1051,HI,*,66470,64880,66600,66360,68720,66960,64450,64180,58060,53760
15-1061,HI,*,65970,61500,59630,59220,59460,58560,72510,61170,46960,46010
15-1071,HI,*,64340,63360,57290,58130,57920,58190,55400,56400,54690,58470
15-1081,HI,*,65160,64600,66450,62780,56930,53780,53210,51920,48600,47170
15-1099,HI,*,76200,71490,69730,75470,54300,55340,*,*,*,*
15-1111,HI,102750,*,*,*,*,*,*,*,*,*,*
15-1121,HI,67170,*,*,*,*,*,*,*,*,*,*
15-1131,HI,69210,*,*,*,*,*,*,*,*,*,*
15-1132,HI,78160,*,*,*,*,*,*,*,*,*,*
15-1133,HI,88820,*,*,*,*,*,*,*,*,*,*
15-1141,HI,69680,*,*,*,*,*,*,*,*,*,*
15-1142,HI,66000,*,*,*,*,*,*,*,*,*,*
15-1150,HI,47060,*,*,*,*,*,*,*,*,*,*
15-1179,HI,71560,*,*,*,*,*,*,*,*,*,*
15-1799,HI,76140,*,*,*,*,*,*,*,*,*,*
15-2031,HI,77820,80860,74080,71880,71660,66030,63510,56270,52110,51010,50800
17-0000,HI,70130,70390,68110,67030,65420,61460,61890,59530,57260,54180,52920
17-2061,HI,84690,79630,74020,72040,72350,*,*,*,*,*,*
17-2112,HI,85930,79070,82220,80150,82130,72540,68210,67000,64800,67310,67450
17-3026,HI,*,*,*,*,*,64090,62530,55270,*,*,*
19-0000,HI,63050,61540,58700,60020,57410,56320,54930,51980,49500,47310,43960
25-1021,HI,76390,76230,70010,66880,67280,62780,61140,55520,60840,53920,*
27-0000,HI,45040,44610,43530,44330,43900,48010,45760,41340,37320,36030,36630
27-1014,HI,51310,57960,*,*,53370,57600,60230,57110,58330,45440,47230
27-1024,HI,41720,47340,46120,44790,41230,38930,38510,36320,35780,33530,38090
27-3042,HI,38960,36220,*,*,72720,67870,68270,48610,47170,44720,43690
29-2071,HI,42430,41340,39820,36460,34080,32310,31100,29430,29620,29370,33080
41-4011,HI,59130,54280,56200,58560,65250,59820,53280,53800,49900,47200,50380
43-9011,HI,43660,42040,39320,34550,34280,32760,32130,32290,32030,31560,29500
43-9021,HI,27780,27800,28000,26450,24650,23820,23690,22660,23310,23760,23290
43-9031,HI,45510,42590,37980,29980,27080,24490,29300,32100,31670,33220,30370
45-0000,HI,33180,32760,30960,27370,25510,23970,23250,22490,21240,20530,20380
49-2011,HI,38220,38000,39070,37150,37760,33160,30320,34480,32860,33810,33600
51-4011,HI,*,*,*,*,*,28080,25430,*,*,*,*
11-3021,ID,87620,88480,85960,78070,78320,69910,70300,70400,72660,68710,66910
13-0000,ID,56040,53810,54650,52040,50070,46880,47020,46830,46870,43810,42900
13-1081,ID,65350,63960,53310,51610,48530,50410,51280,*,*,*,*
13-1111,ID,65020,63270,77750,73730,79750,56880,56410,57670,83600,71300,67990
15-0000,ID,58740,57060,58470,58650,56770,56820,54090,52000,52080,50740,51300
15-1011,ID,*,94110,89600,83400,*,*,*,*,*,*,68440
15-1021,ID,*,49540,54060,56300,57850,54630,50720,53740,57550,59780,60740
15-1031,ID,*,80330,82490,83600,77890,73310,70120,65570,68530,65480,65660
15-1032,ID,*,85380,85300,83780,79050,76580,73150,*,*,*,*
15-1041,ID,*,40160,39710,39030,38430,39680,38730,36250,36630,35760,36630
15-1051,ID,*,65620,70320,62240,64050,61280,64100,62430,59090,51980,52980
15-1061,ID,*,65150,72780,66590,61210,*,*,*,*,46060,45300
15-1071,ID,*,57750,51590,51020,49680,50490,51320,50970,45960,45760,42990
15-1081,ID,*,60190,62700,58560,47280,39620,40370,46100,46600,49720,46150
15-1099,ID,*,57260,56310,53220,52710,39060,35720,*,*,*,*
15-1111,ID,96570,*,*,*,*,*,*,*,*,*,*
15-1121,ID,67810,*,*,*,*,*,*,*,*,*,*
15-1131,ID,53020,*,*,*,*,*,*,*,*,*,*
15-1132,ID,70410,*,*,*,*,*,*,*,*,*,*
15-1133,ID,74900,*,*,*,*,*,*,*,*,*,*
15-1141,ID,69190,*,*,*,*,*,*,*,*,*,*
15-1142,ID,59760,*,*,*,*,*,*,*,*,*,*
15-1150,ID,39330,*,*,*,*,*,*,*,*,*,*
15-1179,ID,60660,*,*,*,*,*,*,*,*,*,*
15-1799,ID,61940,*,*,*,*,*,*,*,*,*,*
15-2031,ID,65830,64750,66030,63270,59010,48620,47710,*,49490,50170,48080
17-0000,ID,69450,68460,66120,63530,63450,61500,61910,59950,51850,50660,48660
17-2061,ID,74040,95410,85900,84740,*,*,*,*,*,*,*
17-2112,ID,84710,81900,78210,75330,*,68910,74380,*,*,*,69700
17-3026,ID,41470,43840,54140,55710,53480,41570,42720,34390,43000,42870,48820
19-0000,ID,50630,49800,48010,46120,46780,44420,49780,48590,44870,43020,41110
25-1021,ID,58010,*,*,*,*,*,*,*,51470,*,37820
27-0000,ID,35980,35500,38030,35920,35970,33100,33420,30170,29400,28800,27970
27-1014,ID,51600,49230,44920,*,*,31440,31630,34060,35480,35760,36690
27-1024,ID,36770,35860,38400,36510,37420,35190,36270,32600,32780,29890,29850
27-3042,ID,54840,53740,57710,52920,52940,46120,46880,46420,45390,44820,42200
29-2071,ID,30910,31880,31340,29660,27290,24600,24850,24040,23550,22910,21460
41-4011,ID,128970,-1,75360,72240,-1,47540,50480,48640,47690,45560,48370
43-9011,ID,33340,32060,34180,29160,31220,30060,31010,27980,27290,26040,25790
43-9021,ID,27380,25270,26140,24580,25100,23940,24970,23670,21700,22410,22100
43-9031,ID,34920,34250,29180,-1,30780,30520,28270,25160,24620,23280,22390
45-0000,ID,28750,26100,27480,24740,26120,23210,23870,24080,23870,23520,23340
49-2011,ID,36000,35860,35140,32610,31690,*,*,25570,34170,33720,32890
51-4011,ID,33750,33290,32460,28450,25900,25890,25460,26340,28490,26540,24290
51-4012,ID,46180,*,36280,39840,38920,42200,*,*,*,*,25870
11-3021,IL,113720,113760,115430,108240,100000,92510,93790,90590,86010,81060,77860
13-0000,IL,67530,66920,66790,65040,62970,60440,58910,56710,53380,50660,47410
13-1081,IL,71160,69490,69460,64420,64290,61120,60100,*,*,*,*
13-1111,IL,86650,87640,88680,85150,82190,75000,79970,76710,79110,74910,56080
15-0000,IL,75130,75670,75270,73750,69380,66450,66630,63050,61620,61410,57930
15-1011,IL,*,96210,97530,95260,91670,86610,78890,75770,68350,69570,75920
15-1021,IL,*,72680,76000,74260,70650,64480,65300,63060,61080,58960,56530
15-1031,IL,*,90690,86920,85080,77860,73210,73220,68340,67460,65320,66810
15-1032,IL,*,92050,89850,89140,86500,83580,86200,76400,82920,79180,69900
15-1041,IL,*,51010,50360,49600,46340,46410,46280,44580,43160,42980,40750
15-1051,IL,*,78410,80610,80840,76560,74450,72370,69730,67910,68960,66310
15-1061,IL,*,74670,73600,72940,67510,64850,63240,58040,56500,55370,52600
15-1071,IL,*,75260,71980,67320,62650,61820,62160,60650,59180,58200,56250
15-1081,IL,*,73450,73070,71010,67340,65100,63490,61010,61660,60070,56880
15-1099,IL,*,77400,75700,72890,69990,67080,69190,*,*,*,*
15-1111,IL,95440,*,*,*,*,*,*,*,*,*,*
15-1121,IL,75650,*,*,*,*,*,*,*,*,*,*
15-1131,IL,74220,*,*,*,*,*,*,*,*,*,*
15-1132,IL,88650,*,*,*,*,*,*,*,*,*,*
15-1133,IL,94110,*,*,*,*,*,*,*,*,*,*
15-1141,IL,77670,*,*,*,*,*,*,*,*,*,*
15-1142,IL,74340,*,*,*,*,*,*,*,*,*,*
15-1150,IL,51690,*,*,*,*,*,*,*,*,*,*
15-1179,IL,76380,*,*,*,*,*,*,*,*,*,*
15-1799,IL,72510,*,*,*,*,*,*,*,*,*,*
15-2031,IL,76610,73420,72790,71000,69630,65700,61660,60600,64390,60810,61780
17-0000,IL,73270,72300,70950,68320,63670,60280,59160,56810,55190,53440,51570
17-2061,IL,92860,93710,91160,85190,80220,71840,68540,68670,68520,66530,62770
17-2112,IL,69910,70670,72440,71420,67310,64810,62000,62090,61710,60460,58420
17-3026,IL,50010,47890,47900,47580,46320,43370,43610,41520,42420,41900,40200
19-0000,IL,73990,68630,67710,61120,58910,55200,53380,50210,48130,46870,45540
25-1021,IL,61660,61280,60000,62240,70520,59460,56410,55050,50450,51010,47100
27-0000,IL,49240,49790,48210,46170,43680,42090,41910,42030,39250,37930,37160
27-1014,IL,59310,60120,58820,53170,46400,47960,46080,46960,42220,40690,36740
27-1024,IL,51220,51080,48130,47510,46060,43590,44540,41540,40080,43200,37010
27-3042,IL,59420,63500,62840,66710,60200,56690,54300,54700,49500,48920,45110
29-2071,IL,34690,33960,33220,30160,28370,27030,26140,25920,24930,23920,23510
41-4011,IL,74380,71050,73310,73450,70180,65220,66080,63900,58520,54560,52170
43-9011,IL,44250,41480,42040,40080,37930,34960,38320,35950,35150,35740,30340
43-9021,IL,29610,28170,26560,25510,25430,25660,25280,24650,23340,23810,23380
43-9031,IL,42890,38090,39380,37460,37980,34300,35930,34870,37150,42370,41670
45-0000,IL,32050,31440,30130,28210,27130,25760,24850,22930,22100,21040,20650
49-2011,IL,41620,39920,40890,40050,40910,38430,38830,35080,34140,33780,32210
51-4011,IL,37770,39010,37380,35760,34920,33230,32330,29900,31240,30670,30650
51-4012,IL,40280,43210,48430,48890,50430,47110,46090,43240,39680,39130,35100
11-3021,IN,99870,95990,95890,90150,84910,77350,75870,76060,73390,70380,68490
13-0000,IN,60070,58540,57140,55120,52110,50230,49290,49120,47110,44460,43190
13-1081,IN,66760,65090,64600,62220,60660,56770,54560,*,*,*,*
13-1111,IN,78540,76340,72010,68690,65950,66050,67730,68460,62090,55710,53830
15-0000,IN,64170,62700,62470,61130,58310,54940,54820,54130,52890,50950,50180
15-1011,IN,*,92120,90820,89790,95020,102860,96970,86710,81520,59300,54950
15-1021,IN,*,66960,67560,66000,62250,56380,56570,54620,53590,51970,51420
15-1031,IN,*,71490,71810,71870,69600,67740,67240,67700,62930,59950,55820
15-1032,IN,*,77910,77410,75340,70460,65640,65070,62380,66300,64070,65730
15-1041,IN,*,40630,41010,39650,37200,35600,36270,36680,35770,35940,35370
15-1051,IN,*,70030,68100,68290,64990,62800,61950,59300,57980,53780,54540
15-1061,IN,*,61090,62400,60630,55750,52590,53090,50020,50150,50000,49510
15-1071,IN,*,58850,58100,55310,54040,51640,51050,50990,49130,48600,46980
15-1081,IN,*,63910,65520,66530,64380,60000,56340,54360,54390,47960,44230
15-1099,IN,*,63340,64180,64500,64430,61520,61750,*,*,*,*
15-1111,IN,96060,*,*,*,*,*,*,*,*,*,*
15-1121,IN,71090,*,*,*,*,*,*,*,*,*,*
15-1131,IN,68190,*,*,*,*,*,*,*,*,*,*
15-1132,IN,70500,*,*,*,*,*,*,*,*,*,*
15-1133,IN,82090,*,*,*,*,*,*,*,*,*,*
15-1141,IN,63120,*,*,*,*,*,*,*,*,*,*
15-1142,IN,60800,*,*,*,*,*,*,*,*,*,*
15-1150,IN,42010,*,*,*,*,*,*,*,*,*,*
15-1179,IN,66220,*,*,*,*,*,*,*,*,*,*
15-1799,IN,65480,*,*,*,*,*,*,*,*,*,*
15-2031,IN,70740,75280,70730,70670,65270,62780,62360,62180,53840,51380,48290
17-0000,IN,65590,64260,62480,60150,58890,57220,56240,54060,52000,49460,47630
17-2061,IN,70950,69220,72340,70970,61560,59590,59490,59890,57950,58390,51390
17-2112,IN,71620,70560,69400,67210,65810,63150,62860,60910,57960,55630,53820
17-3026,IN,51340,51350,49510,47570,45340,45170,45170,44020,43480,42450,41720
19-0000,IN,53630,51850,51860,50890,55870,53640,53740,51740,46680,42140,40040
25-1021,IN,79310,77400,75450,67390,56890,53650,53990,50020,48800,46960,39680
27-0000,IN,38090,38690,39360,38460,36480,34430,33720,32520,32310,30760,28480
27-1014,IN,46420,43710,47500,50870,48920,49460,46490,38670,38300,37070,36150
27-1024,IN,39400,38780,39280,38030,39160,36800,36680,34870,34180,32620,32210
27-3042,IN,55560,60580,61050,60860,53200,51370,50760,47950,46410,46790,45630
29-2071,IN,31630,30990,30530,29160,27540,26530,26120,24450,24170,23620,22440
41-4011,IN,80200,79890,75570,71650,69590,66300,65250,62190,59970,57830,56220
43-9011,IN,36330,34720,33740,32440,32430,30600,29900,28850,27860,26810,25420
43-9021,IN,26530,26830,26090,25170,24810,25210,24310,23670,22620,21450,20880
43-9031,IN,37440,39550,34800,31740,31380,28790,27390,29260,27470,26450,25710
45-0000,IN,27410,27860,27730,27040,27030,25490,24690,22030,21610,22250,21990
49-2011,IN,37670,39250,37790,38000,34050,35300,34030,29990,34940,35430,33900
51-4011,IN,34180,32790,32910,32600,32410,32420,32090,31120,28890,28250,26700
51-4012,IN,43040,38520,37390,36410,43780,39350,38260,37890,33830,35160,34890
11-3021,IA,103680,100580,99010,92580,85600,84490,82420,77780,72630,67180,65690
13-0000,IA,56150,54790,53160,51520,49590,48210,47720,46390,43640,42050,40360
13-1081,IA,60480,60270,60880,69180,65400,60990,54170,*,*,*,*
13-1111,IA,68780,68650,65620,63060,62480,62850,60860,58060,53190,51570,48070
15-0000,IA,63550,63450,62910,61980,58560,56650,55140,53710,52120,51000,50760
15-1011,IA,*,107790,*,*,75120,72990,70580,67840,64420,59230,57100
15-1021,IA,*,64260,61030,58960,55290,54200,53940,52270,51180,50820,49710
15-1031,IA,*,73310,73010,71190,71440,69210,64740,63280,64260,65710,65140
15-1032,IA,*,76830,75550,72800,67580,64080,63830,61970,*,*,62530
15-1041,IA,*,41850,41360,41940,40330,39220,38810,38280,36410,37370,36940
15-1051,IA,*,69670,69600,67030,63400,61960,60730,59730,57720,53240,52470
15-1061,IA,*,67860,64530,60270,59470,58050,57530,55350,51460,50100,49680
15-1071,IA,*,61700,60700,60550,57970,55960,55350,52580,49130,47300,44790
15-1081,IA,*,66280,64240,61910,59620,56340,55570,56790,55210,52980,53540
15-1099,IA,*,61830,56470,54170,51920,47210,46520,*,*,*,*
15-1111,IA,111460,*,*,*,*,*,*,*,*,*,*
15-1121,IA,71050,*,*,*,*,*,*,*,*,*,*
15-1131,IA,64550,*,*,*,*,*,*,*,*,*,*
15-1132,IA,71030,*,*,*,*,*,*,*,*,*,*
15-1133,IA,72970,*,*,*,*,*,*,*,*,*,*
15-1141,IA,71260,*,*,*,*,*,*,*,*,*,*
15-1142,IA,63160,*,*,*,*,*,*,*,*,*,*
15-1150,IA,43850,*,*,*,*,*,*,*,*,*,*
15-1179,IA,65820,*,*,*,*,*,*,*,*,*,*
15-1799,IA,62230,*,*,*,*,*,*,*,*,*,*
15-2031,IA,61700,54880,54780,51360,49860,49020,47110,50670,49210,44070,42720
17-0000,IA,64870,63800,60360,58590,56250,54610,54340,51260,48850,48210,46440
17-2061,IA,97220,76900,73240,72650,72330,62210,59810,53940,*,*,*
17-2112,IA,68440,69090,64570,62670,60090,60030,59540,56890,53610,52520,50660
17-3026,IA,51570,55040,46770,45850,43130,43770,44510,41340,42220,41350,39590
19-0000,IA,53630,53460,51860,51200,48490,47720,47510,44580,42680,41760,39560
25-1021,IA,68810,64510,66950,62790,59230,55600,52990,54650,56450,53980,55630
27-0000,IA,37800,37070,37100,32940,31460,30830,30040,29880,28640,28620,27310
27-1014,IA,56660,50360,44870,37180,33550,38640,41560,38100,33800,31280,33390
27-1024,IA,39710,38730,37550,35220,34360,32530,32850,33000,31470,30330,28220
27-3042,IA,54110,55750,60480,48370,46960,45120,43690,40560,40270,38550,37660
29-2071,IA,31860,31080,29920,28380,27170,25880,24770,23440,23590,23290,22800
41-4011,IA,85340,76730,75070,68880,67350,60950,54980,51340,47630,45200,42080
43-9011,IA,33540,32500,31340,29070,29810,28500,28100,26780,26510,26300,25310
43-9021,IA,27550,26990,25830,23950,23080,22080,21720,21700,21640,20740,20470
43-9031,IA,32090,31100,30120,30610,26060,23990,25450,23870,26660,25940,25480
45-0000,IA,28840,28100,27940,29210,27800,25130,23870,22620,23350,22290,22380
49-2011,IA,37630,37570,35680,34900,33700,33390,34790,33640,34130,32930,32650
51-4011,IA,34310,32850,32560,32650,31370,29850,29560,27750,27290,26030,28360
51-4012,IA,44160,46210,44760,47840,39630,38290,*,32670,*,*,38120
11-3021,KS,96370,97590,99370,94750,89520,87520,87740,89910,78750,75200,73610
13-0000,KS,60340,58370,57650,55780,53440,51720,51290,49590,48160,46210,44590
13-1081,KS,68060,67440,65090,68510,63160,63440,*,*,*,*,*
13-1111,KS,78450,73110,75690,72260,66460,59470,58210,59750,61070,54990,54320
15-0000,KS,66830,64970,63010,62380,60580,61900,60850,61040,57550,54580,52730
15-1011,KS,*,77070,77700,74380,79190,73580,72920,*,74700,72600,66490
15-1021,KS,*,68900,68600,65380,63460,62500,62080,62360,59450,58600,56540
15-1031,KS,*,72280,71700,77240,75020,*,*,*,66280,59700,54610
15-1032,KS,*,81070,80930,77530,75800,74200,75510,71810,80480,68630,66520
15-1041,KS,*,41090,40270,39790,38940,39660,39270,40710,41360,40690,41240
15-1051,KS,*,71530,67240,66390,62950,66540,65390,65120,60980,58020,57090
15-1061,KS,*,67280,61310,61140,57580,63390,59820,59340,57290,56340,56120
15-1071,KS,*,60590,58620,58550,58110,56450,55350,54680,49890,48550,44990
15-1081,KS,*,62900,58250,61890,60990,63650,66070,63240,59890,60100,54610
15-1099,KS,*,73290,73500,69390,62900,54160,53800,*,*,*,*
