OCC;STATE;METROS;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000
15-0000;FL;Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division;65660;58760;59960;56680;55810;53300;*;*;*;*;*
15-1021;FL;Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division;*;62760;68280;70830;65620;62990;*;*;*;*;*
15-1031;FL;Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division;*;75340;77290;78570;73450;69830;*;*;*;*;*
15-1032;FL;Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division;*;87710;81110;74020;69260;76990;*;*;*;*;*
15-1041;FL;Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division;*;36060;37110;34970;39080;37890;*;*;*;*;*
15-1051;FL;Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division;*;69140;62920;54900;55240;57300;*;*;*;*;*
15-1061;FL;Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division;*;66970;66270;61730;58400;43900;*;*;*;*;*
15-1071;FL;Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division;*;70400;69470;68940;64570;60950;*;*;*;*;*
15-1081;FL;Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division;*;71980;64340;57710;53210;53140;*;*;*;*;*
15-1099;FL;Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division;*;58050;60320;58750;48170;43540;*;*;*;*;*
15-1121;FL;Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division;75290;*;*;*;*;*;*;*;*;*;*
15-1131;FL;Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division;57840;*;*;*;*;*;*;*;*;*;*
15-1132;FL;Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division;78010;*;*;*;*;*;*;*;*;*;*
15-1133;FL;Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division;86060;*;*;*;*;*;*;*;*;*;*
15-1141;FL;Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division;67620;*;*;*;*;*;*;*;*;*;*
15-1142;FL;Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division;72170;*;*;*;*;*;*;*;*;*;*
15-1150;FL;Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division;46750;*;*;*;*;*;*;*;*;*;*
15-1179;FL;Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division;70660;*;*;*;*;*;*;*;*;*;*
15-1799;FL;Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division;51060;*;*;*;*;*;*;*;*;*;*
15-2031;FL;Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division;54890;55600;54440;55250;50260;48060;*;*;*;*;*
17-0000;FL;Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division;65610;61800;62540;62080;63340;59390;*;*;*;*;*
17-2061;FL;Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division;98390;70440;68210;66250;79610;77190;*;*;*;*;*
17-2112;FL;Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division;66230;62400;60660;61220;65220;62610;*;*;*;*;*
17-3026;FL;Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division;44330;40850;38210;39210;57950;53650;*;*;*;*;*
19-0000;FL;Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division;56560;55330;58570;55400;54870;50900;*;*;*;*;*
25-1021;FL;Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division;86610;91160;70340;73110;*;62720;*;*;*;*;*
27-0000;FL;Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division;49360;49640;47110;43330;40240;41430;*;*;*;*;*
27-1014;FL;Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division;56890;60130;49450;43000;36350;41460;*;*;*;*;*
27-1024;FL;Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division;46100;45060;44390;41330;38820;38890;*;*;*;*;*
27-3042;FL;Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division;60510;57530;57860;61610;54120;56230;*;*;*;*;*
29-2071;FL;Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division;43090;38130;34770;32620;32910;30930;*;*;*;*;*
41-4011;FL;Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division;78850;71740;64450;64720;66630;66610;*;*;*;*;*
43-9011;FL;Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division;39170;36620;36300;37750;38390;36160;*;*;*;*;*
43-9021;FL;Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division;27120;27500;27360;26630;25770;24040;*;*;*;*;*
43-9031;FL;Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division;37050;34200;32220;36340;35720;39270;*;*;*;*;*
45-0000;FL;Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division;21500;23340;-1;23670;18470;*;*;*;*;*;*
49-2011;FL;Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division;33890;34660;39120;40310;39890;36890;*;*;*;*;*
51-4011;FL;Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division;37750;37100;36160;34110;33710;-1;*;*;*;*;*
51-4012;FL;Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division;*;*;*;*;41230;41230;*;*;*;*;*
00-0000;FL;Fort Walton Beach-Crestview-Destin, FL;*;38710;37540;36760;34150;32430;*;*;*;*;*
11-3021;FL;Fort Walton Beach-Crestview-Destin, FL;*;103950;94280;88150;88120;85020;*;*;*;*;*
13-0000;FL;Fort Walton Beach-Crestview-Destin, FL;*;63670;61800;61510;57670;57580;*;*;*;*;*
13-1081;FL;Fort Walton Beach-Crestview-Destin, FL;*;68690;65380;57090;54980;43490;*;*;*;*;*
13-1111;FL;Fort Walton Beach-Crestview-Destin, FL;*;82350;72660;66090;62150;67620;*;*;*;*;*
15-0000;FL;Fort Walton Beach-Crestview-Destin, FL;*;69880;65280;64410;65180;62930;*;*;*;*;*
15-1011;FL;Fort Walton Beach-Crestview-Destin, FL;*;81880;*;80230;75790;*;*;*;*;*;*
15-1021;FL;Fort Walton Beach-Crestview-Destin, FL;*;69300;63880;66410;51720;51000;*;*;*;*;*
15-1031;FL;Fort Walton Beach-Crestview-Destin, FL;*;80070;75370;77030;80950;81660;*;*;*;*;*
15-1032;FL;Fort Walton Beach-Crestview-Destin, FL;*;79550;74110;76060;75010;72950;*;*;*;*;*
15-1041;FL;Fort Walton Beach-Crestview-Destin, FL;*;41370;43770;39530;33860;35870;*;*;*;*;*
15-1051;FL;Fort Walton Beach-Crestview-Destin, FL;*;69550;64840;61460;58980;59040;*;*;*;*;*
15-1061;FL;Fort Walton Beach-Crestview-Destin, FL;*;54500;58950;72760;67610;67870;*;*;*;*;*
15-1071;FL;Fort Walton Beach-Crestview-Destin, FL;*;67240;61390;57430;57960;53160;*;*;*;*;*
15-1081;FL;Fort Walton Beach-Crestview-Destin, FL;*;81020;60390;54620;48920;47390;*;*;*;*;*
15-1099;FL;Fort Walton Beach-Crestview-Destin, FL;*;68550;69610;69350;65430;*;*;*;*;*;*
15-2031;FL;Fort Walton Beach-Crestview-Destin, FL;*;77820;74080;76710;72510;69770;*;*;*;*;*
17-0000;FL;Fort Walton Beach-Crestview-Destin, FL;*;75010;71780;71580;66430;62630;*;*;*;*;*
17-2061;FL;Fort Walton Beach-Crestview-Destin, FL;*;78920;78930;79230;70440;59610;*;*;*;*;*
17-2112;FL;Fort Walton Beach-Crestview-Destin, FL;*;69510;68370;63200;57280;56710;*;*;*;*;*
17-3026;FL;Fort Walton Beach-Crestview-Destin, FL;*;45780;44720;40430;35600;34740;*;*;*;*;*
19-0000;FL;Fort Walton Beach-Crestview-Destin, FL;*;61410;61930;57010;61620;60610;*;*;*;*;*
27-0000;FL;Fort Walton Beach-Crestview-Destin, FL;*;41090;39770;36770;34790;31700;*;*;*;*;*
27-1024;FL;Fort Walton Beach-Crestview-Destin, FL;*;32870;34650;31810;35390;31460;*;*;*;*;*
27-3042;FL;Fort Walton Beach-Crestview-Destin, FL;*;53210;57450;53650;55880;49670;*;*;*;*;*
29-2071;FL;Fort Walton Beach-Crestview-Destin, FL;*;35210;37520;31800;31840;29870;*;*;*;*;*
41-4011;FL;Fort Walton Beach-Crestview-Destin, FL;*;79120;73830;87550;73920;61030;*;*;*;*;*
43-9011;FL;Fort Walton Beach-Crestview-Destin, FL;*;26670;30250;33640;29190;27880;*;*;*;*;*
43-9021;FL;Fort Walton Beach-Crestview-Destin, FL;*;25630;23870;25110;25140;25240;*;*;*;*;*
49-2011;FL;Fort Walton Beach-Crestview-Destin, FL;*;*;*;*;28460;31420;*;*;*;*;*
00-0000;FL;Gainesville, FL;42730;41250;38380;38290;36550;36720;*;*;*;*;*
11-3021;FL;Gainesville, FL;108860;115450;113590;104090;91630;89020;*;*;*;*;*
13-0000;FL;Gainesville, FL;56370;54590;53790;53780;52070;50650;*;*;*;*;*
13-1081;FL;Gainesville, FL;*;58300;58250;53940;*;*;*;*;*;*;*
13-1111;FL;Gainesville, FL;70500;66810;87830;81600;80970;69250;*;*;*;*;*
15-0000;FL;Gainesville, FL;60170;57150;53550;55460;55020;49380;*;*;*;*;*
15-1021;FL;Gainesville, FL;*;53500;53920;57870;55560;49830;*;*;*;*;*
15-1031;FL;Gainesville, FL;*;88680;88690;86660;75870;60960;*;*;*;*;*
15-1032;FL;Gainesville, FL;*;-1;50940;54130;*;65650;*;*;*;*;*
15-1041;FL;Gainesville, FL;*;35380;33860;34800;35130;32830;*;*;*;*;*
15-1051;FL;Gainesville, FL;*;60140;60650;58580;62930;59480;*;*;*;*;*
15-1061;FL;Gainesville, FL;*;62000;63010;65360;64250;58300;*;*;*;*;*
15-1071;FL;Gainesville, FL;*;56330;61670;63160;62020;56240;*;*;*;*;*
15-1081;FL;Gainesville, FL;*;60430;55000;56680;53970;54090;*;*;*;*;*
15-1099;FL;Gainesville, FL;*;71160;67700;62200;58790;31440;*;*;*;*;*
15-1121;FL;Gainesville, FL;74190;*;*;*;*;*;*;*;*;*;*
15-1131;FL;Gainesville, FL;66190;*;*;*;*;*;*;*;*;*;*
15-1132;FL;Gainesville, FL;63190;*;*;*;*;*;*;*;*;*;*
15-1133;FL;Gainesville, FL;127500;*;*;*;*;*;*;*;*;*;*
15-1141;FL;Gainesville, FL;59070;*;*;*;*;*;*;*;*;*;*
15-1142;FL;Gainesville, FL;62670;*;*;*;*;*;*;*;*;*;*
15-1150;FL;Gainesville, FL;35830;*;*;*;*;*;*;*;*;*;*
15-1179;FL;Gainesville, FL;55510;*;*;*;*;*;*;*;*;*;*
15-2031;FL;Gainesville, FL;46860;51660;49620;49010;51720;50840;*;*;*;*;*
17-0000;FL;Gainesville, FL;57500;58630;54720;58170;53160;48860;*;*;*;*;*
17-2112;FL;Gainesville, FL;59700;65100;64240;81310;64530;60110;*;*;*;*;*
17-3026;FL;Gainesville, FL;30170;30070;*;*;*;*;*;*;*;*;*
19-0000;FL;Gainesville, FL;49970;50380;46920;50450;48010;44470;*;*;*;*;*
25-1021;FL;Gainesville, FL;*;*;*;*;70870;78030;*;*;*;*;*
27-0000;FL;Gainesville, FL;41410;40800;42950;43560;40460;35420;*;*;*;*;*
27-1024;FL;Gainesville, FL;34260;37070;40520;38160;35220;30320;*;*;*;*;*
27-3042;FL;Gainesville, FL;*;*;42840;39030;41180;44900;*;*;*;*;*
29-2071;FL;Gainesville, FL;37530;37090;35340;36370;31730;32150;*;*;*;*;*
41-4011;FL;Gainesville, FL;98170;72790;69260;77030;73040;69920;*;*;*;*;*
43-9011;FL;Gainesville, FL;35470;38570;38220;38890;32490;30940;*;*;*;*;*
43-9021;FL;Gainesville, FL;27090;28360;26020;25540;24900;24100;*;*;*;*;*
43-9031;FL;Gainesville, FL;25880;22970;*;*;29260;26420;*;*;*;*;*
45-0000;FL;Gainesville, FL;31550;32090;20400;*;22190;23710;*;*;*;*;*
49-2011;FL;Gainesville, FL;32390;31730;31250;34220;35370;38110;35600;34660;34090;32690;*
11-3021;FL;Fort Lauderdale, FL PMSA;*;*;*;*;*;*;97310;102730;90460;85780;77820
13-0000;FL;Fort Lauderdale, FL PMSA;*;*;*;*;*;*;53960;50660;47770;47370;44370
13-1081;FL;Fort Lauderdale, FL PMSA;*;*;*;*;*;*;57150;*;*;*;*
13-1111;FL;Fort Lauderdale, FL PMSA;*;*;*;*;*;*;72290;62610;60310;52950;46410
15-0000;FL;Fort Lauderdale, FL PMSA;*;*;*;*;*;*;53700;56750;58880;57800;52180
15-1011;FL;Fort Lauderdale, FL PMSA;*;*;*;*;*;*;*;*;*;80150;77760
15-1021;FL;Fort Lauderdale, FL PMSA;*;*;*;*;*;*;63640;64420;62690;63900;56630
15-1031;FL;Fort Lauderdale, FL PMSA;*;*;*;*;*;*;69700;72740;71330;66850;62200
15-1032;FL;Fort Lauderdale, FL PMSA;*;*;*;*;*;*;76410;75390;80970;86420;77030
15-1041;FL;Fort Lauderdale, FL PMSA;*;*;*;*;*;*;36230;37570;37570;35900;33110
15-1051;FL;Fort Lauderdale, FL PMSA;*;*;*;*;*;*;59400;61550;63230;58130;54850
15-1061;FL;Fort Lauderdale, FL PMSA;*;*;*;*;*;*;45350;37950;62520;61910;55910
15-1071;FL;Fort Lauderdale, FL PMSA;*;*;*;*;*;*;56360;58430;56290;52800;48340
15-1081;FL;Fort Lauderdale, FL PMSA;*;*;*;*;*;*;54470;60470;65480;62750;55280
15-1099;FL;Fort Lauderdale, FL PMSA;*;*;*;*;*;*;42520;*;*;*;*
15-2031;FL;Fort Lauderdale, FL PMSA;*;*;*;*;*;*;45990;46700;47860;47750;46230
17-0000;FL;Fort Lauderdale, FL PMSA;*;*;*;*;*;*;55750;54170;52360;51900;50460
17-2061;FL;Fort Lauderdale, FL PMSA;*;*;*;*;*;*;68720;74400;69510;66720;65360
17-2112;FL;Fort Lauderdale, FL PMSA;*;*;*;*;*;*;61520;56070;56100;58390;57610
17-3026;FL;Fort Lauderdale, FL PMSA;*;*;*;*;*;*;51510;48000;46810;48750;53980
19-0000;FL;Fort Lauderdale, FL PMSA;*;*;*;*;*;*;49620;46460;47290;45040;42270
25-1021;FL;Fort Lauderdale, FL PMSA;*;*;*;*;*;*;65510;64340;51360;46630;38010
27-0000;FL;Fort Lauderdale, FL PMSA;*;*;*;*;*;*;42780;37350;37600;36990;35250
27-1014;FL;Fort Lauderdale, FL PMSA;*;*;*;*;*;*;42790;58200;48490;56140;55230
27-1024;FL;Fort Lauderdale, FL PMSA;*;*;*;*;*;*;38570;32830;32430;29070;24140
27-3042;FL;Fort Lauderdale, FL PMSA;*;*;*;*;*;*;53720;50900;53130;46920;45180
29-2071;FL;Fort Lauderdale, FL PMSA;*;*;*;*;*;*;32600;27040;27060;25800;24310
41-4011;FL;Fort Lauderdale, FL PMSA;*;*;*;*;*;*;62080;58850;53240;53050;41420
43-9011;FL;Fort Lauderdale, FL PMSA;*;*;*;*;*;*;34620;31090;30280;29140;26870
43-9021;FL;Fort Lauderdale, FL PMSA;*;*;*;*;*;*;23640;22510;21740;21090;20520
43-9031;FL;Fort Lauderdale, FL PMSA;*;*;*;*;*;*;32930;32210;34330;33290;35940
45-0000;FL;Fort Lauderdale, FL PMSA;*;*;*;*;*;*;14250;14240;20280;16950;19570
49-2011;FL;Fort Lauderdale, FL PMSA;*;*;*;*;*;*;37750;34770;35000;34530;32520
51-4011;FL;Fort Lauderdale, FL PMSA;*;*;*;*;*;*;30490;31290;29530;28750;33440
00-0000;FL;Fort Myers-Cape Coral, FL MSA;*;*;*;*;*;*;33240;31500;31060;29600;*
11-3021;FL;Fort Myers-Cape Coral, FL MSA;*;*;*;*;*;*;77010;78270;69620;67090;57500
13-0000;FL;Fort Myers-Cape Coral, FL MSA;*;*;*;*;*;*;52540;49550;48800;46540;45100
13-1111;FL;Fort Myers-Cape Coral, FL MSA;*;*;*;*;*;*;60730;67250;67130;66970;63820
15-0000;FL;Fort Myers-Cape Coral, FL MSA;*;*;*;*;*;*;50770;50810;51960;49320;40150
15-1021;FL;Fort Myers-Cape Coral, FL MSA;*;*;*;*;*;*;52010;55160;59490;55260;46410
15-1031;FL;Fort Myers-Cape Coral, FL MSA;*;*;*;*;*;*;62490;82170;76270;71010;82600
15-1032;FL;Fort Myers-Cape Coral, FL MSA;*;*;*;*;*;*;74450;70710;69870;68770;*
15-1041;FL;Fort Myers-Cape Coral, FL MSA;*;*;*;*;*;*;35960;37780;37660;*;29600
15-1051;FL;Fort Myers-Cape Coral, FL MSA;*;*;*;*;*;*;55550;53400;54470;54900;45730
15-1061;FL;Fort Myers-Cape Coral, FL MSA;*;*;*;*;*;*;48740;47610;43670;42480;41760
15-1071;FL;Fort Myers-Cape Coral, FL MSA;*;*;*;*;*;*;54710;51070;48850;49520;45970
15-1081;FL;Fort Myers-Cape Coral, FL MSA;*;*;*;*;*;*;46320;48370;48740;42430;46230
15-2031;FL;Fort Myers-Cape Coral, FL MSA;*;*;*;*;*;*;44340;37320;*;48070;*
17-0000;FL;Fort Myers-Cape Coral, FL MSA;*;*;*;*;*;*;49090;48080;46770;48430;45870
17-2112;FL;Fort Myers-Cape Coral, FL MSA;*;*;*;*;*;*;47790;48500;46940;48420;*
17-3026;FL;Fort Myers-Cape Coral, FL MSA;*;*;*;*;*;*;35390;41750;45640;*;*
19-0000;FL;Fort Myers-Cape Coral, FL MSA;*;*;*;*;*;*;-1;41630;40450;42350;37530
25-1021;FL;Fort Myers-Cape Coral, FL MSA;*;*;*;*;*;*;73370;*;*;*;*
27-0000;FL;Fort Myers-Cape Coral, FL MSA;*;*;*;*;*;*;40470;37590;35660;31910;28660
27-1024;FL;Fort Myers-Cape Coral, FL MSA;*;*;*;*;*;*;35300;42330;39680;34380;29410
29-2071;FL;Fort Myers-Cape Coral, FL MSA;*;*;*;*;*;*;31530;23820;24220;23230;22300
41-4011;FL;Fort Myers-Cape Coral, FL MSA;*;*;*;*;*;*;57600;45390;45110;41700;38480
43-9011;FL;Fort Myers-Cape Coral, FL MSA;*;*;*;*;*;*;34900;32380;32700;29740;24400
43-9021;FL;Fort Myers-Cape Coral, FL MSA;*;*;*;*;*;*;25140;21970;19850;19410;19170
43-9031;FL;Fort Myers-Cape Coral, FL MSA;*;*;*;*;*;*;37440;*;22020;21580;19690
49-2011;FL;Fort Myers-Cape Coral, FL MSA;*;*;*;*;*;*;31420;34120;32770;31880;31100
51-4011;FL;Fort Myers-Cape Coral, FL MSA;*;*;*;*;*;*;*;*;*;*;24650
00-0000;FL;Fort Pierce-Port St. Lucie, FL MSA;*;*;*;*;*;*;32360;30900;30610;29640;*
11-3021;FL;Fort Pierce-Port St. Lucie, FL MSA;*;*;*;*;*;*;93370;86120;79610;75140;76570
13-0000;FL;Fort Pierce-Port St. Lucie, FL MSA;*;*;*;*;*;*;53910;51510;48270;44610;38410
13-1081;FL;Fort Pierce-Port St. Lucie, FL MSA;*;*;*;*;*;*;62670;*;*;*;*
13-1111;FL;Fort Pierce-Port St. Lucie, FL MSA;*;*;*;*;*;*;73950;72400;69630;60290;65480
15-0000;FL;Fort Pierce-Port St. Lucie, FL MSA;*;*;*;*;*;*;49180;50580;53050;51030;53220
15-1021;FL;Fort Pierce-Port St. Lucie, FL MSA;*;*;*;*;*;*;53760;52130;49030;43430;38780
15-1031;FL;Fort Pierce-Port St. Lucie, FL MSA;*;*;*;*;*;*;71750;70620;66770;61670;59820
15-1032;FL;Fort Pierce-Port St. Lucie, FL MSA;*;*;*;*;*;*;*;*;*;*;65980
15-1041;FL;Fort Pierce-Port St. Lucie, FL MSA;*;*;*;*;*;*;39060;37680;43420;50510;54700
15-1051;FL;Fort Pierce-Port St. Lucie, FL MSA;*;*;*;*;*;*;55500;56550;56020;49360;47090
15-1071;FL;Fort Pierce-Port St. Lucie, FL MSA;*;*;*;*;*;*;53960;54770;53480;46950;48240
15-1081;FL;Fort Pierce-Port St. Lucie, FL MSA;*;*;*;*;*;*;51850;58930;54190;46870;46700
15-2031;FL;Fort Pierce-Port St. Lucie, FL MSA;*;*;*;*;*;*;43240;48410;*;*;41870
17-0000;FL;Fort Pierce-Port St. Lucie, FL MSA;*;*;*;*;*;*;46330;43690;43200;39900;35660
17-2112;FL;Fort Pierce-Port St. Lucie, FL MSA;*;*;*;*;*;*;53720;*;*;44620;42450
17-3026;FL;Fort Pierce-Port St. Lucie, FL MSA;*;*;*;*;*;*;*;38840;38730;*;32560
19-0000;FL;Fort Pierce-Port St. Lucie, FL MSA;*;*;*;*;*;*;43630;42010;43320;43330;41810
27-0000;FL;Fort Pierce-Port St. Lucie, FL MSA;*;*;*;*;*;*;38350;36840;35480;31840;29680
27-1024;FL;Fort Pierce-Port St. Lucie, FL MSA;*;*;*;*;*;*;34830;*;33330;31170;28580
29-2071;FL;Fort Pierce-Port St. Lucie, FL MSA;*;*;*;*;*;*;24650;24440;22950;23370;22230
41-4011;FL;Fort Pierce-Port St. Lucie, FL MSA;*;*;*;*;*;*;56600;61440;51130;42840;39280
43-9011;FL;Fort Pierce-Port St. Lucie, FL MSA;*;*;*;*;*;*;34250;29580;28240;26470;26490
43-9021;FL;Fort Pierce-Port St. Lucie, FL MSA;*;*;*;*;*;*;24650;20580;*;17270;17630
45-0000;FL;Fort Pierce-Port St. Lucie, FL MSA;*;*;*;*;*;*;17700;18290;17370;17780;16260
49-2011;FL;Fort Pierce-Port St. Lucie, FL MSA;*;*;*;*;*;*;*;27890;28720;28360;27820
00-0000;FL;Jacksonville, FL;41030;39460;39090;37690;36480;34960;*;*;*;*;*
11-3021;FL;Jacksonville, FL;115920;115630;123200;120370;118270;107920;*;*;*;*;*
13-0000;FL;Jacksonville, FL;59610;57820;58610;57440;54620;51490;*;*;*;*;*
13-1081;FL;Jacksonville, FL;67190;63420;67580;63980;60230;52170;*;*;*;*;*
13-1111;FL;Jacksonville, FL;71610;70260;72530;73900;70010;68170;*;*;*;*;*
15-0000;FL;Jacksonville, FL;65410;63970;66890;66580;65130;65690;*;*;*;*;*
15-1011;FL;Jacksonville, FL;*;*;*;*;*;87670;*;*;*;*;*
15-1021;FL;Jacksonville, FL;*;75090;70300;68520;70850;76250;*;*;*;*;*
15-1031;FL;Jacksonville, FL;*;85450;86310;84240;75390;79470;*;*;*;*;*
15-1032;FL;Jacksonville, FL;*;96040;87750;95010;88350;87940;*;*;*;*;*
15-1041;FL;Jacksonville, FL;*;41320;40370;40080;40890;37210;*;*;*;*;*
15-1051;FL;Jacksonville, FL;*;67960;68740;64280;65880;65030;*;*;*;*;*
15-1061;FL;Jacksonville, FL;*;68880;61280;59430;56300;62680;*;*;*;*;*
15-1071;FL;Jacksonville, FL;*;63030;64980;65820;67700;63430;*;*;*;*;*
15-1081;FL;Jacksonville, FL;*;71580;71980;66170;59540;56080;*;*;*;*;*
15-1099;FL;Jacksonville, FL;*;70940;71710;71800;69050;64710;*;*;*;*;*
15-1111;FL;Jacksonville, FL;87470;*;*;*;*;*;*;*;*;*;*
15-1121;FL;Jacksonville, FL;72730;*;*;*;*;*;*;*;*;*;*
15-1131;FL;Jacksonville, FL;72050;*;*;*;*;*;*;*;*;*;*
15-1132;FL;Jacksonville, FL;79730;*;*;*;*;*;*;*;*;*;*
15-1133;FL;Jacksonville, FL;98840;*;*;*;*;*;*;*;*;*;*
15-1141;FL;Jacksonville, FL;70170;*;*;*;*;*;*;*;*;*;*
15-1142;FL;Jacksonville, FL;68950;*;*;*;*;*;*;*;*;*;*
15-1150;FL;Jacksonville, FL;42880;*;*;*;*;*;*;*;*;*;*
15-1179;FL;Jacksonville, FL;76280;*;*;*;*;*;*;*;*;*;*
15-1799;FL;Jacksonville, FL;71270;*;*;*;*;*;*;*;*;*;*
15-2031;FL;Jacksonville, FL;52950;53770;53980;54720;51210;49470;*;*;*;*;*
17-0000;FL;Jacksonville, FL;67990;65550;64010;61090;60160;56490;*;*;*;*;*
17-2061;FL;Jacksonville, FL;64000;69010;75510;89230;102850;89780;*;*;*;*;*
17-2112;FL;Jacksonville, FL;68470;67590;65880;64800;58720;58740;*;*;*;*;*
17-3026;FL;Jacksonville, FL;52330;52600;53860;53350;49050;49340;*;*;*;*;*
19-0000;FL;Jacksonville, FL;60810;57330;54480;55120;53580;51980;*;*;*;*;*
25-1021;FL;Jacksonville, FL;69000;72970;85880;*;*;*;*;*;*;*;*
27-0000;FL;Jacksonville, FL;48490;47390;48640;45660;43510;40220;*;*;*;*;*
27-1014;FL;Jacksonville, FL;*;*;*;*;*;55360;*;*;*;*;*
27-1024;FL;Jacksonville, FL;43730;41740;39010;38290;40500;37030;*;*;*;*;*
27-3042;FL;Jacksonville, FL;54080;52820;45820;52950;51350;44190;*;*;*;*;*
29-2071;FL;Jacksonville, FL;34560;32240;32000;29780;30620;27350;*;*;*;*;*
41-4011;FL;Jacksonville, FL;84210;85550;81910;70940;60940;50900;*;*;*;*;*
43-9011;FL;Jacksonville, FL;38580;36560;38520;38740;35270;33480;*;*;*;*;*
43-9021;FL;Jacksonville, FL;27570;27430;26160;24230;23110;21920;*;*;*;*;*
43-9031;FL;Jacksonville, FL;31060;32580;30170;47740;*;*;*;*;*;*;*
45-0000;FL;Jacksonville, FL;27280;29800;26910;27110;25500;23110;*;*;*;*;*
49-2011;FL;Jacksonville, FL;39430;37290;40610;38210;41060;37570;*;*;*;*;*
51-4011;FL;Jacksonville, FL;39740;40320;32380;28460;28240;27970;31310;30540;29870;28480;*
11-3021;FL;Fort Walton Beach, FL MSA;*;*;*;*;*;*;79510;74690;74460;71730;70920
13-0000;FL;Fort Walton Beach, FL MSA;*;*;*;*;*;*;54410;50300;47670;45130;43050
13-1111;FL;Fort Walton Beach, FL MSA;*;*;*;*;*;*;71770;72480;68850;61700;48000
15-0000;FL;Fort Walton Beach, FL MSA;*;*;*;*;*;*;62340;57210;54770;53000;52280
15-1011;FL;Fort Walton Beach, FL MSA;*;*;*;*;*;*;*;*;67090;64110;67030
15-1021;FL;Fort Walton Beach, FL MSA;*;*;*;*;*;*;42170;46050;49400;49800;51490
15-1031;FL;Fort Walton Beach, FL MSA;*;*;*;*;*;*;81080;68720;61770;*;*
15-1032;FL;Fort Walton Beach, FL MSA;*;*;*;*;*;*;73210;*;63410;62720;59090
15-1041;FL;Fort Walton Beach, FL MSA;*;*;*;*;*;*;37460;38100;30480;29140;28210
15-1051;FL;Fort Walton Beach, FL MSA;*;*;*;*;*;*;57710;54930;54630;57120;52000
15-1061;FL;Fort Walton Beach, FL MSA;*;*;*;*;*;*;54230;*;*;*;*
15-1071;FL;Fort Walton Beach, FL MSA;*;*;*;*;*;*;54680;47190;49760;51750;51730
15-1081;FL;Fort Walton Beach, FL MSA;*;*;*;*;*;*;45540;48030;45210;39120;35470
15-2031;FL;Fort Walton Beach, FL MSA;*;*;*;*;*;*;66150;70790;66150;68430;65020
17-0000;FL;Fort Walton Beach, FL MSA;*;*;*;*;*;*;61510;55280;54880;54900;50920
17-2061;FL;Fort Walton Beach, FL MSA;*;*;*;*;*;*;50800;58730;53740;64100;62540
17-2112;FL;Fort Walton Beach, FL MSA;*;*;*;*;*;*;61690;53610;52760;49020;*
17-3026;FL;Fort Walton Beach, FL MSA;*;*;*;*;*;*;36140;37090;36740;35880;35130
19-0000;FL;Fort Walton Beach, FL MSA;*;*;*;*;*;*;63230;42240;39710;38340;34470
