OCC;STATE;METROS;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000
15-1051;AL;Southwest Alabama nonmetropolitan area;*;*;*;62230;65190;*;*;*;*;*;*
15-1061;AL;Southwest Alabama nonmetropolitan area;*;*;*;51950;*;*;*;*;*;*;*
15-1071;AL;Southwest Alabama nonmetropolitan area;*;58220;50680;50430;49700;*;*;*;*;*;*
15-1081;AL;Southwest Alabama nonmetropolitan area;*;48990;50720;36060;*;*;*;*;*;*;*
15-1121;AL;Southwest Alabama nonmetropolitan area;67670;*;*;*;*;*;*;*;*;*;*
15-1131;AL;Southwest Alabama nonmetropolitan area;79550;*;*;*;*;*;*;*;*;*;*
15-1142;AL;Southwest Alabama nonmetropolitan area;64170;*;*;*;*;*;*;*;*;*;*
15-1150;AL;Southwest Alabama nonmetropolitan area;38200;*;*;*;*;*;*;*;*;*;*
15-1179;AL;Southwest Alabama nonmetropolitan area;66590;*;*;*;*;*;*;*;*;*;*
17-0000;AL;Southwest Alabama nonmetropolitan area;62000;60550;58550;56370;52070;*;*;*;*;*;*
17-2112;AL;Southwest Alabama nonmetropolitan area;78140;74740;74130;65870;70280;*;*;*;*;*;*
17-3026;AL;Southwest Alabama nonmetropolitan area;53410;46220;45290;45040;41440;*;*;*;*;*;*
19-0000;AL;Southwest Alabama nonmetropolitan area;55390;56270;56200;52960;49570;*;*;*;*;*;*
25-1021;AL;Southwest Alabama nonmetropolitan area;-1;*;*;*;*;*;*;*;*;*;*
27-0000;AL;Southwest Alabama nonmetropolitan area;35060;37390;34740;32190;30070;*;*;*;*;*;*
27-1024;AL;Southwest Alabama nonmetropolitan area;35280;39030;38020;33040;29240;*;*;*;*;*;*
29-2071;AL;Southwest Alabama nonmetropolitan area;26890;25970;25050;22030;20610;*;*;*;*;*;*
41-4011;AL;Southwest Alabama nonmetropolitan area;*;45060;-1;55570;57330;*;*;*;*;*;*
43-9011;AL;Southwest Alabama nonmetropolitan area;*;*;*;28520;30040;*;*;*;*;*;*
43-9021;AL;Southwest Alabama nonmetropolitan area;23100;25530;24710;23820;23390;*;*;*;*;*;*
45-0000;AL;Southwest Alabama nonmetropolitan area;32330;32140;31790;32740;28600;*;*;*;*;*;*
49-2011;AL;Southwest Alabama nonmetropolitan area;30830;29550;27920;27560;*;*;*;*;*;*;*
51-4011;AL;Southwest Alabama nonmetropolitan area;34580;34930;35590;34310;31010;*;*;*;*;*;*
00-0000;AL;Southeast Alabama nonmetropolitan area;34810;34320;33240;32830;30650;*;*;*;*;*;*
11-3021;AL;Southeast Alabama nonmetropolitan area;88620;77320;74000;76680;76410;*;*;*;*;*;*
13-0000;AL;Southeast Alabama nonmetropolitan area;58600;55940;53570;53580;50550;*;*;*;*;*;*
13-1081;AL;Southeast Alabama nonmetropolitan area;73020;67990;65730;60570;60170;*;*;*;*;*;*
13-1111;AL;Southeast Alabama nonmetropolitan area;74220;74740;65870;65020;62310;*;*;*;*;*;*
15-0000;AL;Southeast Alabama nonmetropolitan area;58570;57220;48900;63420;62300;*;*;*;*;*;*
15-1021;AL;Southeast Alabama nonmetropolitan area;*;57370;53610;50560;49780;*;*;*;*;*;*
15-1031;AL;Southeast Alabama nonmetropolitan area;*;75980;71490;72030;70590;*;*;*;*;*;*
15-1032;AL;Southeast Alabama nonmetropolitan area;*;67940;*;86090;84500;*;*;*;*;*;*
15-1041;AL;Southeast Alabama nonmetropolitan area;*;29300;22270;28620;30830;*;*;*;*;*;*
15-1051;AL;Southeast Alabama nonmetropolitan area;*;61550;60480;55050;*;*;*;*;*;*;*
15-1061;AL;Southeast Alabama nonmetropolitan area;*;44950;40080;44960;*;*;*;*;*;*;*
15-1071;AL;Southeast Alabama nonmetropolitan area;*;55460;52650;50690;47100;*;*;*;*;*;*
15-1081;AL;Southeast Alabama nonmetropolitan area;*;49690;48030;*;*;*;*;*;*;*;*
15-1099;AL;Southeast Alabama nonmetropolitan area;*;73510;70730;69340;63790;*;*;*;*;*;*
15-1121;AL;Southeast Alabama nonmetropolitan area;60190;*;*;*;*;*;*;*;*;*;*
15-1131;AL;Southeast Alabama nonmetropolitan area;60170;*;*;*;*;*;*;*;*;*;*
15-1142;AL;Southeast Alabama nonmetropolitan area;59640;*;*;*;*;*;*;*;*;*;*
15-1150;AL;Southeast Alabama nonmetropolitan area;33290;*;*;*;*;*;*;*;*;*;*
15-1179;AL;Southeast Alabama nonmetropolitan area;56420;*;*;*;*;*;*;*;*;*;*
17-0000;AL;Southeast Alabama nonmetropolitan area;59400;55780;54970;72100;68760;*;*;*;*;*;*
17-2112;AL;Southeast Alabama nonmetropolitan area;67050;64670;60910;49630;46820;*;*;*;*;*;*
17-3026;AL;Southeast Alabama nonmetropolitan area;*;45000;45130;45640;43880;*;*;*;*;*;*
19-0000;AL;Southeast Alabama nonmetropolitan area;55510;54370;55220;51240;48020;*;*;*;*;*;*
27-0000;AL;Southeast Alabama nonmetropolitan area;35310;47400;45850;44160;44220;*;*;*;*;*;*
27-1024;AL;Southeast Alabama nonmetropolitan area;31810;31650;31580;30260;27130;*;*;*;*;*;*
27-3042;AL;Southeast Alabama nonmetropolitan area;49260;*;*;*;*;*;*;*;*;*;*
29-2071;AL;Southeast Alabama nonmetropolitan area;28410;27600;27810;26310;25960;*;*;*;*;*;*
41-4011;AL;Southeast Alabama nonmetropolitan area;*;82090;*;*;64310;*;*;*;*;*;*
43-9011;AL;Southeast Alabama nonmetropolitan area;29630;32030;29130;29180;28270;*;*;*;*;*;*
43-9021;AL;Southeast Alabama nonmetropolitan area;24040;23120;20750;19870;18420;*;*;*;*;*;*
45-0000;AL;Southeast Alabama nonmetropolitan area;32240;30120;31110;29650;28610;*;*;*;*;*;*
49-2011;AL;Southeast Alabama nonmetropolitan area;30350;*;*;42370;41090;*;29570;29100;28930;27160;*
11-3021;AL;Anniston, AL MSA;*;*;*;*;*;*;*;77440;73360;61820;57110
13-0000;AL;Anniston, AL MSA;*;*;*;*;*;*;46400;45990;45420;38990;39400
13-1111;AL;Anniston, AL MSA;*;*;*;*;*;*;51990;*;58250;49320;47020
15-0000;AL;Anniston, AL MSA;*;*;*;*;*;*;50870;51680;48220;40090;42260
15-1021;AL;Anniston, AL MSA;*;*;*;*;*;*;50190;43560;*;*;41800
15-1041;AL;Anniston, AL MSA;*;*;*;*;*;*;27310;*;35110;*;*
15-1051;AL;Anniston, AL MSA;*;*;*;*;*;*;60120;62340;58920;*;49360
15-1071;AL;Anniston, AL MSA;*;*;*;*;*;*;*;52060;48930;43590;43210
15-1081;AL;Anniston, AL MSA;*;*;*;*;*;*;47130;*;*;*;*
17-0000;AL;Anniston, AL MSA;*;*;*;*;*;*;53860;49600;45910;44870;42750
17-2112;AL;Anniston, AL MSA;*;*;*;*;*;*;60690;52160;51080;47580;45160
17-3026;AL;Anniston, AL MSA;*;*;*;*;*;*;*;*;*;*;34830
19-0000;AL;Anniston, AL MSA;*;*;*;*;*;*;48360;40980;42450;36170;39710
27-0000;AL;Anniston, AL MSA;*;*;*;*;*;*;34320;30640;30640;28590;28690
27-1024;AL;Anniston, AL MSA;*;*;*;*;*;*;22290;*;*;*;*
29-2071;AL;Anniston, AL MSA;*;*;*;*;*;*;19100;21150;20430;20620;19570
41-4011;AL;Anniston, AL MSA;*;*;*;*;*;*;54670;*;68850;26400;25000
43-9021;AL;Anniston, AL MSA;*;*;*;*;*;*;20410;19930;18730;20830;18760
45-0000;AL;Anniston, AL MSA;*;*;*;*;*;*;22680;*;*;*;*
49-2011;AL;Anniston, AL MSA;*;*;*;*;*;*;29250;29530;28530;*;*
51-4011;AL;Anniston, AL MSA;*;*;*;*;*;*;24950;25620;25850;25240;23580
00-0000;AL;Auburn-Opelika, AL MSA;*;*;*;*;*;*;29830;29830;29190;27970;*
11-3021;AL;Auburn-Opelika, AL MSA;*;*;*;*;*;*;75370;*;*;53630;52270
13-0000;AL;Auburn-Opelika, AL MSA;*;*;*;*;*;*;44010;41200;40730;41960;39920
13-1111;AL;Auburn-Opelika, AL MSA;*;*;*;*;*;*;*;*;*;*;73860
15-0000;AL;Auburn-Opelika, AL MSA;*;*;*;*;*;*;49860;49560;*;50230;48160
15-1021;AL;Auburn-Opelika, AL MSA;*;*;*;*;*;*;50170;44870;43220;46230;43350
15-1031;AL;Auburn-Opelika, AL MSA;*;*;*;*;*;*;*;65500;*;63530;*
15-1032;AL;Auburn-Opelika, AL MSA;*;*;*;*;*;*;*;65700;*;43920;*
15-1051;AL;Auburn-Opelika, AL MSA;*;*;*;*;*;*;*;*;*;52980;48160
15-1071;AL;Auburn-Opelika, AL MSA;*;*;*;*;*;*;46200;63230;*;*;*
17-0000;AL;Auburn-Opelika, AL MSA;*;*;*;*;*;*;49210;44210;42780;43340;41340
19-0000;AL;Auburn-Opelika, AL MSA;*;*;*;*;*;*;*;*;*;38050;38890
27-0000;AL;Auburn-Opelika, AL MSA;*;*;*;*;*;*;38290;*;*;34680;28610
27-1024;AL;Auburn-Opelika, AL MSA;*;*;*;*;*;*;27660;*;*;36460;33620
