NAICs,STATE,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
811212,CA,5309,5371,5931,6181,6700,6728,6710,6427,6613,7041,7380
811213,CA,1454,792,905,1099,838,915,953,908,1246,1306,1410
10,CO,4728793,4775325,4989442,4943274,4835396,4725004,4626410,4576596,4647264,4731289,4689212
11,CO,13670,13735,14087,14550,14834,14960,14547,14092,14452,14687,14823
323115,CO,495,449,452,433,438,417,367,352,312,270,290
33411,CO,4688,5051,5517,5752,7237,8377,11834,12342,13997,15398,15396
334611,CO,564,568,564,563,587,622,721,979,1122,1401,1529
423430,CO,5227,5676,5908,6063,6042,5963,6134,6606,7186,8429,8032
425110,CO,1107,1130,1131,943,906,841,896,1030,1061,1312,1262
443120,CO,1394,1286,1339,1602,1619,1732,1723,1835,2152,2372,3273
454111,CO,2001,1909,2014,1846,1444,1352,914,582,501,555,*
51,CO,74243,77220,79411,78502,77762,79497,83162,86688,95108,108906,108952
511210,CO,10927,11188,12260,12537,12664,12844,13668,14406,15521,17728,17437
518,CO,6316,6325,6357,5684,7086,6896,7498,7861,8853,11011,11490
519130,CO,1815,1648,1543,1383,*,*,*,*,*,*,*
52,CO,99484,102058,106075,109080,110053,107783,105247,104527,103051,102925,101350
522320,CO,4776,4704,4665,4631,4720,3601,3068,2938,3032,3230,3219
54151,CO,39998,40213,41331,39206,36890,35772,33574,33023,35688,42636,45322
611420,CO,0,0,0,0,0,0,0,0,0,952,*
811212,CO,692,708,728,730,691,657,788,794,838,816,821
811213,CO,308,328,354,351,298,290,301,324,365,391,440
10,CT,3433542,3477096,3626318,3618938,3591154,3523628,3495628,3487058,3536719,3566499,3565160
11,CT,4699,4630,4844,4978,5131,5435,5544,5500,5179,5356,5147
323115,CT,141,172,206,250,244,263,236,215,208,268,*
33411,CT,402,407,414,418,502,576,656,775,844,861,896
334611,CT,*,*,*,*,0,0,0,0,0,0,*
423430,CT,1740,1681,1840,1851,1763,1720,1758,1912,1902,2086,1910
