OCC,STATE,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
15-1021,AZ,*,7600,8660,7820,6260,6240,6190,6690,7460,8810,9440
15-1031,AZ,*,6820,7540,8100,7600,7400,7480,5880,4320,4850,5100
15-1032,AZ,*,6680,6760,6950,5580,5240,4890,4170,4760,4710,6400
15-1041,AZ,*,12070,11620,11700,11600,11570,12510,11250,12400,13300,12160
15-1051,AZ,*,9420,8040,6960,6470,6630,6290,8100,6490,7890,8610
15-1061,AZ,*,2190,2500,2960,2610,1990,1840,1350,1590,1480,1690
15-1071,AZ,*,5710,5130,4680,4000,3950,3820,3750,3770,3360,3350
15-1081,AZ,*,3560,3290,3170,2920,2950,2800,2140,2040,1950,1540
15-1099,AZ,*,1950,2000,1930,1910,1100,1070,*,*,*,*
15-1111,AZ,280,*,*,*,*,*,*,*,*,*,*
15-1121,AZ,8890,*,*,*,*,*,*,*,*,*,*
15-1131,AZ,6710,*,*,*,*,*,*,*,*,*,*
15-1132,AZ,6580,*,*,*,*,*,*,*,*,*,*
15-1133,AZ,8660,*,*,*,*,*,*,*,*,*,*
15-1141,AZ,2760,*,*,*,*,*,*,*,*,*,*
15-1142,AZ,6570,*,*,*,*,*,*,*,*,*,*
15-1150,AZ,12280,*,*,*,*,*,*,*,*,*,*
15-1179,AZ,4020,*,*,*,*,*,*,*,*,*,*
15-1799,AZ,1740,*,*,*,*,*,*,*,*,*,*
15-2031,AZ,1060,950,1260,1700,2010,1780,1650,1100,950,790,850
17-0000,AZ,50210,53620,59860,59680,57910,55510,57040,55870,55730,59010,61350
17-2061,AZ,2040,*,*,-1,1750,2160,*,*,*,*,1460
17-2112,AZ,4330,4140,4440,3790,3460,3000,2910,2450,2640,3790,5390
17-3026,AZ,2690,1240,1790,1130,1220,630,570,1240,1980,1460,2430
19-0000,AZ,17980,20930,19400,18520,17590,16320,15280,13410,13050,13560,13900
25-1021,AZ,530,700,660,1050,1430,1640,1370,2010,1680,1670,1200
27-0000,AZ,25940,25500,26910,28340,26940,27070,25080,21650,22430,22970,23240
27-1014,AZ,190,180,190,150,240,290,490,400,350,*,250
27-1024,AZ,3140,3260,3680,3920,3940,3970,3140,2800,2730,2830,2680
27-3042,AZ,600,630,820,860,780,600,740,750,1090,1160,1190
29-2071,AZ,4870,4510,4440,4430,4060,3620,3290,2860,2930,2670,2970
41-4011,AZ,8650,9460,10830,10790,11130,10050,11100,13320,12940,12600,11950
43-9011,AZ,1940,2750,2940,3720,3520,3410,3160,2580,3250,3330,3500
43-9021,AZ,4940,7120,7620,7540,6450,6580,6970,7980,9660,8520,8440
43-9031,AZ,250,190,190,280,250,420,320,280,240,330,430
45-0000,AZ,12440,11330,13170,13750,13760,11570,12160,12250,12950,14930,12590
49-2011,AZ,1360,1780,2240,2560,2430,2550,2180,1880,1550,1880,2550
51-4011,AZ,990,1060,1290,1120,920,950,880,940,890,1680,2140
51-4012,AZ,230,420,300,270,-1,120,100,200,380,250,-1
11-3021,AR,1220,1380,1110,1050,950,1130,1150,1020,1150,920,950
13-0000,AR,38140,39830,38040,35360,34560,34020,34210,34300,34650,34520,32780
13-1081,AR,970,1050,910,720,550,490,510,*,*,*,*
13-1111,AR,1430,2160,2020,2120,2150,2850,2760,3500,3610,3220,2640
15-0000,AR,19560,21020,19480,16910,14430,13940,13180,12590,13530,10280,8840
15-1011,AR,*,*,*,*,-1,-1,*,-1,*,*,*
15-1021,AR,*,4470,4560,3370,2560,2450,2090,2550,2710,2290,1730
15-1031,AR,*,1660,1620,1530,1110,1240,1180,1560,1790,1470,960
15-1032,AR,*,900,910,530,610,580,530,540,-1,360,280
15-1041,AR,*,3850,3740,3750,3360,3130,2920,2200,2080,1660,1740
15-1051,AR,*,2740,2330,2040,1800,1600,1580,1490,-1,1230,1080
15-1061,AR,*,1030,860,900,750,1060,1100,940,*,*,*
15-1071,AR,*,2380,2030,1450,1370,1490,1440,1310,1310,910,810
15-1081,AR,*,2050,1670,1000,800,680,560,600,380,-1,250
15-1099,AR,*,540,510,930,1000,750,740,*,*,*,*
15-1111,AR,60,*,*,*,*,*,*,*,*,*,*
15-1121,AR,2310,*,*,*,*,*,*,*,*,*,*
15-1131,AR,3680,*,*,*,*,*,*,*,*,*,*
15-1132,AR,1360,*,*,*,*,*,*,*,*,*,*
15-1133,AR,1060,*,*,*,*,*,*,*,*,*,*
15-1141,AR,900,*,*,*,*,*,*,*,*,*,*
15-1142,AR,2510,*,*,*,*,*,*,*,*,*,*
15-1150,AR,3780,*,*,*,*,*,*,*,*,*,*
15-1179,AR,2100,*,*,*,*,*,*,*,*,*,*
15-1799,AR,660,*,*,*,*,*,*,*,*,*,*
15-2031,AR,250,370,340,330,390,310,330,320,*,170,160
17-0000,AR,11210,11650,12930,14290,13910,13140,12690,11000,11490,11610,11250
17-2061,AR,150,140,200,-1,-1,120,90,120,120,150,70
17-2112,AR,1300,1160,1270,1170,1230,1330,1270,1120,1100,1260,1370
17-3026,AR,310,260,330,300,360,340,410,410,510,460,330
19-0000,AR,5820,8290,7090,7870,6880,7340,7590,6830,6890,6640,6190
25-1021,AR,270,230,240,230,*,200,190,190,160,140,120
27-0000,AR,8620,8920,8940,9020,8670,8420,8120,8480,7850,8580,8880
27-1014,AR,-1,-1,40,-1,-1,-1,-1,110,70,80,140
27-1024,AR,920,1080,1150,1170,1040,1040,930,920,720,660,590
27-3042,AR,130,150,170,250,220,220,180,160,260,140,140
29-2071,AR,1600,1520,1450,1400,1240,1190,1130,1130,1220,1240,1360
41-4011,AR,2340,2300,2140,2480,2380,2880,2850,2180,2190,1850,2300
43-9011,AR,1250,1180,1170,770,870,940,1130,1200,1340,1330,1320
43-9021,AR,1850,1600,1770,1580,1720,1730,2020,2600,2360,2510,2210
43-9031,AR,200,100,170,170,240,170,130,150,150,110,60
45-0000,AR,5980,5570,6320,6440,6600,5850,7400,7140,7930,7250,7530
49-2011,AR,900,800,780,800,950,970,900,1050,1040,1020,940
51-4011,AR,1960,1550,1320,1750,1280,1500,1240,980,900,870,1000
51-4012,AR,60,70,100,110,180,200,320,360,300,320,140
11-3021,CA,38380,38500,38590,38040,35550,35080,34300,32400,34650,34060,37620
13-0000,CA,747690,741390,766830,762020,740470,664220,631770,639450,622190,598010,575030
13-1081,CA,11980,10790,11110,10580,9700,6880,6660,*,*,*,*
13-1111,CA,68450,73140,71320,65200,63700,55860,51510,52890,47810,39540,40600
15-0000,CA,420630,415200,412680,394840,391960,384580,379770,377050,366250,384810,428800
15-1011,CA,*,4500,4140,4930,4910,4700,5200,4630,3740,4580,3890
15-1021,CA,*,31230,33010,32950,35040,35330,40360,41520,51930,65670,77230
15-1031,CA,*,76960,73700,82410,84550,90210,81450,81620,64140,66400,73320
15-1032,CA,*,69200,69520,52000,50400,45430,49310,48340,44220,50280,52250
15-1041,CA,*,60730,63070,61360,59520,59100,57470,54780,54890,57820,69090
