OCC,STATE,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
27-0000,DC,25440,27540,28540,29750,27950,25480,22200,18950,18270,19560,19980
27-1014,DC,90,100,110,110,130,120,140,170,110,80,-1
27-1024,DC,1490,1540,1540,1610,1410,1130,980,1050,1330,1090,1030
27-3042,DC,980,690,570,550,610,550,530,440,390,360,280
29-2071,DC,540,470,750,800,810,750,840,720,740,490,510
41-4011,DC,880,870,1340,1170,1260,920,-1,430,-1,280,270
43-9011,DC,400,450,640,680,810,650,700,750,910,1050,1090
43-9021,DC,920,1180,1350,1450,1410,1480,1630,-1,1650,3160,4220
43-9031,DC,100,110,110,70,130,-1,100,160,120,110,210
45-0000,DC,*,*,*,*,*,*,*,110,*,330,850
49-2011,DC,310,460,410,380,330,*,210,60,110,110,130
11-3021,FL,7390,7280,7040,6450,7380,7950,8520,8490,10460,10680,11660
13-0000,FL,372540,382860,394810,391170,360270,318910,302570,275280,252730,245740,239520
13-1081,FL,3430,3310,3250,3460,3260,2320,2140,*,*,*,*
13-1111,FL,33580,36080,36540,37820,32890,30710,28860,29020,29100,26360,26400
15-0000,FL,154080,154030,155740,148310,149660,146410,145670,139010,127820,127790,132380
15-1011,FL,*,690,760,790,920,970,1150,940,730,860,1180
15-1021,FL,*,20380,22210,21300,21640,20790,20490,19360,19550,21300,22350
15-1031,FL,*,18520,18940,17440,17160,15800,14660,14420,12880,14340,14640
15-1032,FL,*,11430,11810,12300,14600,15570,14990,13920,10750,9250,8710
15-1041,FL,*,33050,31190,29420,28190,31050,29210,27370,25780,25580,31440
15-1051,FL,*,21240,21440,20250,22250,23200,25510,22030,20770,17810,18100
15-1061,FL,*,5010,5980,5820,5490,4980,5080,4770,4230,5390,6110
15-1071,FL,*,13970,13650,13340,12990,12290,12410,12920,11110,9990,9160
15-1081,FL,*,16560,17700,16660,15620,13060,12790,11750,9770,9770,7780
15-1099,FL,*,4430,4240,4000,4590,2780,3220,*,*,*,*
15-1111,FL,730,*,*,*,*,*,*,*,*,*,*
15-1121,FL,21510,*,*,*,*,*,*,*,*,*,*
15-1131,FL,18070,*,*,*,*,*,*,*,*,*,*
15-1132,FL,20340,*,*,*,*,*,*,*,*,*,*
15-1133,FL,13480,*,*,*,*,*,*,*,*,*,*
15-1141,FL,4870,*,*,*,*,*,*,*,*,*,*
15-1142,FL,13610,*,*,*,*,*,*,*,*,*,*
15-1150,FL,31320,*,*,*,*,*,*,*,*,*,*
15-1179,FL,17060,*,*,*,*,*,*,*,*,*,*
15-1799,FL,4720,*,*,*,*,*,*,*,*,*,*
15-2031,FL,6860,7580,6710,6010,5040,4610,4620,4690,3970,3980,4280
17-0000,FL,103640,113960,123830,130460,127420,118440,116420,112860,118160,115850,121240
17-2061,FL,1640,2760,3720,3690,3160,3290,3470,3650,2080,2310,2420
17-2112,FL,9690,10170,9850,8910,7070,6550,6190,4600,4350,4300,4220
17-3026,FL,2500,2520,2670,2590,2460,2790,2920,3000,2840,2640,2910
19-0000,FL,38460,46280,45450,46900,50050,51360,48680,42570,40740,38140,37900
25-1021,FL,1700,1630,1620,1520,1700,1630,1760,1770,1600,1450,1450
27-0000,FL,84650,89580,97090,97360,94400,90410,88740,86030,86160,86060,83540
27-1014,FL,780,670,820,750,790,1190,1040,1530,1390,1730,2310
27-1024,FL,11160,12200,13140,12290,11140,10690,10190,9090,8410,9540,8100
27-3042,FL,1700,1610,1640,1510,1760,1860,1750,1890,1900,1690,1910
29-2071,FL,10880,10420,9850,9040,9580,9010,9560,10360,9710,10570,11910
41-4011,FL,31390,31170,29960,28420,27260,26130,24730,21460,19970,20190,19830
43-9011,FL,3520,4080,4650,5150,6290,6430,7260,8530,9350,10320,10780
43-9021,FL,18710,18080,19650,20850,21250,21740,22450,22340,25840,32130,36700
43-9031,FL,1130,1030,1120,1350,1260,1620,1600,1540,1700,1450,1790
45-0000,FL,33380,35840,33300,36090,38740,-1,43180,46180,32300,30720,26720
49-2011,FL,7420,7070,7540,7670,7610,7960,7710,8610,7990,8070,7650
51-4011,FL,2780,2610,2420,2290,2360,2100,2040,1890,2080,2380,2680
51-4012,FL,280,220,260,270,280,230,260,240,250,360,450
11-3021,GA,10100,10190,10390,10330,10280,10370,10160,9350,9140,9910,10810
13-0000,GA,187260,182980,181930,174990,167100,153650,144270,138480,133480,135970,136070
13-1081,GA,4000,3900,3670,3510,3420,1480,1640,*,*,*,*
13-1111,GA,28920,32120,27920,25190,19220,16960,13610,12710,11060,11010,11240
15-0000,GA,97140,95170,95080,89910,92900,93520,95480,102220,92630,88300,96520
15-1011,GA,*,630,640,650,560,480,450,360,1000,770,830
15-1021,GA,*,7200,8720,9100,9580,9780,9860,11850,12190,12480,14590
15-1031,GA,*,11030,11350,10620,10970,12420,12650,14120,13890,10790,11620
15-1032,GA,*,8330,8300,7780,9280,11030,11670,12420,8970,7030,7710
15-1041,GA,*,19040,20470,19670,20500,18500,18980,19750,16630,17840,19190
15-1051,GA,*,23670,21060,16780,15720,17690,17910,18790,17210,14990,16720
15-1061,GA,*,3200,3430,3330,3120,2480,2840,3280,3560,3680,4150
15-1071,GA,*,9620,8670,8320,8090,7840,7900,7680,7200,7760,9210
15-1081,GA,*,5290,5450,5870,7290,7500,7560,7300,4510,4190,4080
15-1099,GA,*,3500,3670,4090,4280,2590,2860,*,*,*,*
15-1111,GA,670,*,*,*,*,*,*,*,*,*,*
15-1121,GA,21860,*,*,*,*,*,*,*,*,*,*
15-1131,GA,8620,*,*,*,*,*,*,*,*,*,*
15-1132,GA,10820,*,*,*,*,*,*,*,*,*,*
15-1133,GA,9230,*,*,*,*,*,*,*,*,*,*
15-1141,GA,3340,*,*,*,*,*,*,*,*,*,*
15-1142,GA,9550,*,*,*,*,*,*,*,*,*,*
15-1150,GA,19900,*,*,*,*,*,*,*,*,*,*
15-1179,GA,6490,*,*,*,*,*,*,*,*,*,*
15-1799,GA,3570,*,*,*,*,*,*,*,*,*,*
15-2031,GA,1980,2330,2390,2720,2390,2150,1820,2370,2050,3010,3120
17-0000,GA,52250,55990,58480,56930,54170,54050,54640,52530,54790,62600,60540
17-2061,GA,1220,1350,1330,1510,1120,1020,1000,800,1640,1750,2040
17-2112,GA,4970,4630,3820,3820,4110,4280,4730,4340,4370,6000,3620
17-3026,GA,1340,1460,1710,1580,1670,1640,1730,1820,1660,1390,1550
19-0000,GA,19330,25410,24270,21250,21810,22570,22230,22110,22440,20380,19780
25-1021,GA,950,950,900,1060,1130,1180,1130,930,560,540,-1
27-0000,GA,36420,39970,40390,40770,35700,33560,33400,33710,34880,37050,34320
27-1014,GA,640,730,530,-1,420,340,350,690,670,700,700
27-1024,GA,5190,5440,5160,4870,4360,4110,3650,3100,3140,2760,3120
27-3042,GA,1150,1520,1530,1530,1190,1070,940,1050,1190,1280,1490
29-2071,GA,4640,4330,4240,4420,4320,4020,3870,3710,3530,3550,4060
41-4011,GA,12400,16010,16510,16400,14140,13770,14160,14120,12600,14120,15190
43-9011,GA,2820,3080,3030,3000,3470,4030,4280,5150,6530,6240,5500
43-9021,GA,5530,5930,6600,7630,8570,9500,9520,8690,12680,15010,16340
43-9031,GA,590,730,840,870,800,670,710,970,960,780,900
45-0000,GA,8520,9380,11900,13710,13470,13650,14240,11760,10410,10560,12050
49-2011,GA,4090,4460,4540,5300,4470,4520,4190,3930,4090,4060,4320
51-4011,GA,1520,1810,1630,1610,1520,1430,1550,1770,1740,1770,2000
51-4012,GA,190,190,160,180,210,230,240,380,450,590,540
11-3021,HI,530,510,650,670,860,910,950,800,670,760,820
13-0000,HI,24840,24740,24940,23670,23180,21580,20770,19950,18950,17350,16950
13-1081,HI,370,340,330,280,280,100,120,*,*,*,*
13-1111,HI,1680,1410,1360,1350,1490,1310,1330,1130,1020,900,740
15-0000,HI,8390,8020,8310,8190,8500,8120,8180,7550,6610,6590,6340
15-1011,HI,*,60,60,*,*,60,70,60,50,30,40
15-1021,HI,*,830,1140,1460,1340,1050,1050,800,760,670,650
15-1031,HI,*,800,740,570,450,460,400,430,370,420,280
15-1032,HI,*,470,410,370,490,670,840,550,360,310,300
15-1041,HI,*,1270,1150,1250,1630,1600,1500,1590,1240,1420,1580
15-1051,HI,*,940,1060,970,1220,1860,1890,1760,1570,1380,1330
15-1061,HI,*,230,250,290,300,220,160,240,280,230,160
15-1071,HI,*,910,970,930,970,980,930,910,690,630,680
15-1081,HI,*,1160,1200,910,710,680,810,650,650,660,690
15-1099,HI,*,1060,1060,1090,1030,190,160,*,*,*,*
15-1111,HI,80,*,*,*,*,*,*,*,*,*,*
15-1121,HI,1000,*,*,*,*,*,*,*,*,*,*
15-1131,HI,700,*,*,*,*,*,*,*,*,*,*
15-1132,HI,760,*,*,*,*,*,*,*,*,*,*
15-1133,HI,390,*,*,*,*,*,*,*,*,*,*
15-1141,HI,230,*,*,*,*,*,*,*,*,*,*
15-1142,HI,1200,*,*,*,*,*,*,*,*,*,*
15-1150,HI,1520,*,*,*,*,*,*,*,*,*,*
15-1179,HI,1050,*,*,*,*,*,*,*,*,*,*
15-1799,HI,1140,*,*,*,*,*,*,*,*,*,*
15-2031,HI,180,120,100,110,130,160,190,190,240,210,-1
17-0000,HI,8540,8470,8500,8410,8750,8250,8090,8080,7870,7610,7240
17-2061,HI,240,140,110,100,250,*,*,*,*,*,*
17-2112,HI,60,90,60,80,60,70,70,-1,90,-1,30
17-3026,HI,*,*,*,*,*,-1,80,60,*,*,*
19-0000,HI,6420,6750,6570,6650,6160,5620,5520,4650,6190,5360,5370
25-1021,HI,100,100,110,-1,170,170,170,240,150,130,*
27-0000,HI,9870,9640,9530,9190,9790,9120,9300,9950,8610,8160,8840
27-1014,HI,210,-1,*,*,140,-1,-1,-1,-1,80,100
27-1024,HI,500,520,570,520,480,450,510,540,550,470,430
27-3042,HI,-1,-1,*,*,80,90,90,60,90,60,90
29-2071,HI,600,650,640,550,600,540,590,670,550,570,420
41-4011,HI,470,560,550,480,420,380,480,540,410,490,300
43-9011,HI,370,350,370,420,450,660,630,790,780,860,980
43-9021,HI,660,800,1000,1210,1120,880,960,810,890,1700,1720
43-9031,HI,50,60,50,70,60,70,90,110,110,90,120
45-0000,HI,920,960,890,840,1070,1080,1000,1150,1250,1110,1190
49-2011,HI,410,430,620,560,600,590,770,520,540,540,690
51-4011,HI,*,*,*,*,*,-1,-1,*,*,*,*
11-3021,ID,1050,920,990,1010,1060,1080,1000,890,830,700,720
13-0000,ID,20630,21670,22830,22340,20750,18700,19110,17540,16730,16600,16680
13-1081,ID,290,280,350,360,370,110,100,*,*,*,*
13-1111,ID,1710,2040,2190,2300,1280,880,920,780,830,690,680
15-0000,ID,13640,13050,12160,11470,10760,10240,9700,9360,9650,9060,9340
15-1011,ID,*,-1,220,170,*,*,*,*,*,*,30
15-1021,ID,*,2380,1940,1390,1200,1040,1060,1060,1690,1290,1490
15-1031,ID,*,960,-1,800,1030,1450,1480,1330,1130,1090,1200
15-1032,ID,*,1240,1220,-1,1150,1580,1040,*,*,*,*
15-1041,ID,*,3590,3280,3030,2830,1930,1940,2220,1610,1690,1760
15-1051,ID,*,1090,910,980,1320,1350,1250,1180,1250,1210,1010
15-1061,ID,*,270,330,350,390,*,*,*,*,410,410
15-1071,ID,*,1280,1330,1220,900,750,810,780,730,750,700
15-1081,ID,*,730,660,460,610,540,540,410,370,270,270
15-1099,ID,*,1060,1100,1010,750,400,390,*,*,*,*
15-1111,ID,90,*,*,*,*,*,*,*,*,*,*
15-1121,ID,830,*,*,*,*,*,*,*,*,*,*
15-1131,ID,2410,*,*,*,*,*,*,*,*,*,*
15-1132,ID,1470,*,*,*,*,*,*,*,*,*,*
15-1133,ID,-1,*,*,*,*,*,*,*,*,*,*
15-1141,ID,240,*,*,*,*,*,*,*,*,*,*
15-1142,ID,1080,*,*,*,*,*,*,*,*,*,*
15-1150,ID,3190,*,*,*,*,*,*,*,*,*,*
15-1179,ID,900,*,*,*,*,*,*,*,*,*,*
15-1799,ID,790,*,*,*,*,*,*,*,*,*,*
15-2031,ID,300,310,230,200,200,240,220,*,90,70,70
17-0000,ID,13090,13680,14930,14040,15080,14120,14090,13730,18210,18000,19770
17-2061,ID,-1,630,450,580,*,*,*,*,*,*,*
17-2112,ID,660,720,1150,1430,*,930,970,*,*,*,1040
17-3026,ID,290,350,530,-1,270,160,160,100,140,120,150
19-0000,ID,9480,10060,9710,9780,9830,9600,7490,7130,7400,7220,8010
25-1021,ID,70,*,*,*,*,*,*,*,60,*,30
27-0000,ID,8030,8490,8340,8560,7440,6690,6400,5820,6050,5590,5710
27-1014,ID,50,-1,-1,*,*,-1,40,40,50,50,50
27-1024,ID,890,920,940,1020,1060,800,820,580,470,420,440
27-3042,ID,230,230,280,340,560,480,550,280,200,220,190
29-2071,ID,1000,1110,1000,710,720,670,630,640,740,630,660
41-4011,ID,2360,2500,1620,1190,1160,1140,1370,1410,1220,1460,1330
43-9011,ID,220,310,350,430,390,400,420,540,790,670,640
43-9021,ID,530,500,450,630,770,820,920,840,960,1050,1200
43-9031,ID,80,60,90,110,80,100,110,140,120,150,180
45-0000,ID,5170,4600,5440,5860,6520,6010,5560,5180,6520,6330,6460
49-2011,ID,460,420,460,240,-1,*,*,1470,930,480,530
51-4011,ID,310,190,240,220,250,280,240,160,160,190,250
51-4012,ID,40,*,30,60,50,30,*,*,*,*,40
11-3021,IL,13490,14530,13120,13070,12130,13440,13850,13820,13650,12530,13440
13-0000,IL,313360,327510,329630,319890,305860,284740,279370,252760,247230,239850,244020
13-1081,IL,3920,4130,3760,2960,2620,1530,1560,*,*,*,*
13-1111,IL,28960,28760,24760,23590,22180,19590,21120,18170,18560,17420,14100
15-0000,IL,127260,142290,144720,142820,136450,133250,132710,124300,122930,132160,136190
15-1011,IL,*,-1,880,1230,1160,860,680,660,440,770,-1
15-1021,IL,*,21700,22910,22060,23480,22440,20690,17690,20490,20070,26810
15-1031,IL,*,15610,17060,19520,16560,16360,13320,14040,15090,15400,18710
15-1032,IL,*,17290,17820,16790,14650,14180,13380,13160,8480,9510,7280
15-1041,IL,*,21170,20300,20310,20750,22640,21200,19840,19220,19000,21810
15-1051,IL,*,19690,17460,16650,15990,19030,23310,24930,26210,36550,25580
15-1061,IL,*,4300,4660,5000,4880,5070,4820,4440,4770,5080,5640
15-1071,IL,*,15990,14410,13890,12360,10710,10710,8840,8900,9090,10430
15-1081,IL,*,6510,7150,7180,7150,6670,7440,5770,5080,4310,4350
15-1099,IL,*,15250,16250,14790,12900,-1,11360,*,*,*,*
15-1111,IL,790,*,*,*,*,*,*,*,*,*,*
15-1121,IL,17890,*,*,*,*,*,*,*,*,*,*
15-1131,IL,20670,*,*,*,*,*,*,*,*,*,*
15-1132,IL,14760,*,*,*,*,*,*,*,*,*,*
15-1133,IL,14760,*,*,*,*,*,*,*,*,*,*
15-1141,IL,4330,*,*,*,*,*,*,*,*,*,*
15-1142,IL,13070,*,*,*,*,*,*,*,*,*,*
15-1150,IL,21040,*,*,*,*,*,*,*,*,*,*
15-1179,IL,6340,*,*,*,*,*,*,*,*,*,*
15-1799,IL,10650,*,*,*,*,*,*,*,*,*,*
15-2031,IL,1390,1840,1940,1810,1690,1460,1590,1370,1590,1380,1850
17-0000,IL,83630,83760,84280,83300,82850,87870,85600,89400,88740,95270,102610
17-2061,IL,1430,1110,1360,2180,2070,1930,1240,720,990,1290,970
17-2112,IL,8290,8740,8400,8260,7410,7140,7070,7620,6960,7370,7010
17-3026,IL,2210,2310,2350,2630,2520,2770,2840,3230,2830,3030,3320
19-0000,IL,33940,47070,49710,47450,47970,43640,41660,41840,40190,41300,39420
25-1021,IL,1020,770,920,1240,1940,2510,2580,2660,1750,1610,1260
27-0000,IL,69980,68980,71410,70330,66650,64090,63290,65090,69000,66040,66970
27-1014,IL,970,910,920,910,960,770,1210,1680,2830,2390,2730
27-1024,IL,9870,9710,9960,10180,9240,7710,7390,7340,6740,6670,5790
27-3042,IL,1020,1350,1540,1470,1310,1270,1580,1520,1620,1870,2150
29-2071,IL,7090,6880,7280,8090,8700,8780,8420,6380,6230,6130,6590
41-4011,IL,18090,20300,23300,21770,20040,18620,18800,18330,20330,19300,20990
43-9011,IL,3640,3470,4660,5560,6250,5720,5520,6790,7740,8660,9080
43-9021,IL,9430,12020,15520,17020,14330,14160,15310,17810,20820,20970,21770
43-9031,IL,1090,1330,1660,1780,2280,2180,2220,2280,1900,2070,2210
45-0000,IL,5170,5970,6300,6120,5000,5070,4520,8150,8330,8670,6270
49-2011,IL,3470,2810,3890,4070,4460,4300,4030,3640,4380,3980,4720
51-4011,IL,7690,8150,9780,9850,10470,9450,9370,7390,8410,9080,9870
51-4012,IL,820,890,-1,830,1010,1100,1250,1030,920,1440,1040
11-3021,IN,3780,3910,4090,4200,4010,4120,4570,4440,4660,4350,4210
13-0000,IN,92730,88740,90600,90660,90470,89140,89350,90670,86800,80110,83610
13-1081,IN,1660,1200,1390,1450,1230,990,1020,*,*,*,*
13-1111,IN,7030,7330,7110,6020,5520,5040,4740,5480,5040,3370,3510
15-0000,IN,46930,45890,45020,41600,38660,37200,38030,37790,37810,34610,34710
15-1011,IN,*,130,140,100,70,120,140,170,140,90,70
15-1021,IN,*,5050,5480,5440,5110,5040,5820,5790,7350,6370,6400
15-1031,IN,*,6090,5830,5300,4560,3920,3850,3690,3630,3820,3760
15-1032,IN,*,3340,3240,2600,2440,2670,2580,2680,2320,2310,3050
15-1041,IN,*,8740,8650,8430,7720,8140,7890,7510,6780,5980,6360
15-1051,IN,*,7380,7000,6450,6660,6710,6980,7770,7850,7250,6160
15-1061,IN,*,1540,1700,1760,1690,1520,1600,1540,1620,1690,1740
15-1071,IN,*,6290,5990,5270,4620,4310,4410,3860,3690,3420,3450
15-1081,IN,*,3330,3380,3150,2620,1890,1590,1310,1140,940,970
15-1099,IN,*,1910,1680,1350,1740,1620,1800,*,*,*,*
15-1111,IN,-1,*,*,*,*,*,*,*,*,*,*
15-1121,IN,7770,*,*,*,*,*,*,*,*,*,*
15-1131,IN,4890,*,*,*,*,*,*,*,*,*,*
15-1132,IN,5870,*,*,*,*,*,*,*,*,*,*
15-1133,IN,3860,*,*,*,*,*,*,*,*,*,*
15-1141,IN,1750,*,*,*,*,*,*,*,*,*,*
15-1142,IN,5980,*,*,*,*,*,*,*,*,*,*
15-1150,IN,8700,*,*,*,*,*,*,*,*,*,*
15-1179,IN,3560,*,*,*,*,*,*,*,*,*,*
15-1799,IN,2280,*,*,*,*,*,*,*,*,*,*
15-2031,IN,1030,980,900,800,660,610,630,490,420,390,450
17-0000,IN,44260,44840,47260,45080,45780,47710,49310,48870,52070,50680,53970
17-2061,IN,170,180,110,120,210,370,570,600,670,290,320
17-2112,IN,6780,6200,6610,5760,5820,6140,5890,5730,7030,5380,5950
17-3026,IN,1880,2100,2360,1960,2450,2110,2200,2240,1590,1620,2190
19-0000,IN,17180,20430,20060,18740,17850,18960,19060,18680,17290,14670,15020
25-1021,IN,860,650,780,840,990,840,790,700,540,480,380
27-0000,IN,30730,31380,31850,31010,30150,29640,28400,26080,25300,23540,25830
27-1014,IN,190,190,240,380,400,280,290,300,310,360,400
27-1024,IN,3170,3340,3630,3340,3250,3070,2920,2330,2330,1950,2180
27-3042,IN,570,640,730,610,480,750,720,730,610,450,500
29-2071,IN,4280,4330,4010,4070,4030,4400,4060,3820,3770,3940,4090
41-4011,IN,6540,7110,7360,7380,7920,8650,8240,8260,6330,5660,5120
43-9011,IN,1340,1760,1930,1990,2290,2260,2490,3020,3430,3260,3400
43-9021,IN,4000,4280,4580,4460,4240,4740,5480,5750,7590,7690,8750
43-9031,IN,320,290,340,430,580,560,540,670,590,590,490
45-0000,IN,3080,2820,2950,3260,2760,2780,2760,5370,5000,3890,4280
49-2011,IN,2360,2090,2390,2550,2810,3000,2870,3420,2940,2500,3220
51-4011,IN,6600,6230,6370,7100,6760,7500,7570,7110,8020,9580,11860
51-4012,IN,620,520,590,570,410,400,510,610,730,610,770
11-3021,IA,2120,2210,2200,2170,2180,2080,2110,2040,2390,2500,2700
13-0000,IA,58810,57840,60410,59880,58980,57800,56570,52260,48950,46400,46720
13-1081,IA,470,380,460,520,480,420,330,*,*,*,*
13-1111,IA,3740,3900,4290,3910,3560,2700,2650,2580,2340,2080,2780
15-0000,IA,26800,27190,28370,27660,26130,23550,23600,21710,20790,21960,22710
15-1011,IA,*,30,*,*,40,50,50,60,130,130,170
15-1021,IA,*,3470,4050,4030,3400,2850,2870,3000,3350,4880,4920
15-1031,IA,*,4510,3870,4040,3290,2730,2390,2200,2170,2200,2580
15-1032,IA,*,2110,2640,2910,2720,2570,2320,1860,*,*,2820
15-1041,IA,*,4790,4370,3600,4190,4010,4260,4080,3850,4050,3730
15-1051,IA,*,4000,4900,4920,4240,5020,5280,4740,3820,2630,2570
15-1061,IA,*,750,730,620,610,550,540,550,650,630,670
15-1071,IA,*,3740,3270,2820,2620,2520,2480,2060,1870,1540,1610
15-1081,IA,*,1310,1900,2150,2170,1420,1390,1290,1100,850,880
15-1099,IA,*,1220,1190,1310,1660,970,1040,*,*,*,*
15-1111,IA,30,*,*,*,*,*,*,*,*,*,*
15-1121,IA,3430,*,*,*,*,*,*,*,*,*,*
15-1131,IA,3080,*,*,*,*,*,*,*,*,*,*
15-1132,IA,4200,*,*,*,*,*,*,*,*,*,*
15-1133,IA,2090,*,*,*,*,*,*,*,*,*,*
15-1141,IA,950,*,*,*,*,*,*,*,*,*,*
15-1142,IA,4050,*,*,*,*,*,*,*,*,*,*
15-1150,IA,5000,*,*,*,*,*,*,*,*,*,*
15-1179,IA,1520,*,*,*,*,*,*,*,*,*,*
15-1799,IA,1110,*,*,*,*,*,*,*,*,*,*
15-2031,IA,890,840,840,650,590,400,520,620,600,750,540
17-0000,IA,17830,18500,17720,17660,17070,16290,15840,17130,16700,17590,18820
17-2061,IA,460,150,190,230,310,230,200,240,*,*,*
17-2112,IA,2610,2650,2550,2380,2210,1890,1860,1660,1430,1440,1520
17-3026,IA,610,700,720,710,590,470,470,540,530,540,610
19-0000,IA,10920,13780,13260,12260,11220,10440,10280,9360,9510,10070,10230
25-1021,IA,320,350,360,460,450,470,460,350,410,390,370
27-0000,IA,18190,18000,18690,18020,17430,16390,16280,16050,14770,15340,14930
27-1014,IA,150,100,90,70,90,60,90,100,160,190,310
27-1024,IA,1960,2140,2210,2170,1940,2030,2130,1820,1570,1530,1390
27-3042,IA,550,460,460,410,380,300,320,410,430,580,730
29-2071,IA,2070,2140,2220,1970,1850,1620,1800,1830,1890,1950,2040
41-4011,IA,2590,3030,3540,4420,4750,4750,4070,4450,4320,4160,5030
43-9011,IA,890,1360,1480,1450,1390,1660,1820,2020,2450,2560,2240
43-9021,IA,1440,1840,2200,2650,2720,2600,2550,2300,3160,3520,3550
43-9031,IA,350,410,400,310,250,240,220,210,380,410,520
45-0000,IA,5570,6080,5710,4910,4510,4380,4950,5550,6160,5950,5970
49-2011,IA,1250,1350,1700,1480,1220,1180,1290,1380,1160,1040,1300
51-4011,IA,2530,2380,2670,3380,3110,2890,2130,1580,1630,1890,2050
51-4012,IA,230,180,210,210,270,310,*,860,*,*,190
11-3021,KS,2130,2230,2120,1900,1820,1900,1900,2010,2420,2640,2720
13-0000,KS,57490,56040,56830,56330,54490,51100,49590,47700,43450,43510,42490
13-1081,KS,1310,1140,800,670,270,140,*,*,*,*,*
13-1111,KS,3790,3660,3880,4040,3920,3720,3230,3130,2760,2930,3460
15-0000,KS,27620,30370,29090,26760,24870,26780,27220,26170,27180,27170,26770
15-1011,KS,*,80,100,100,60,30,30,*,150,120,-1
15-1021,KS,*,4520,4410,4420,4040,3820,3460,4200,4050,4510,4260
15-1031,KS,*,3090,3030,2660,3160,*,*,*,4050,4360,3160
15-1032,KS,*,2870,2810,2190,2080,2370,1880,1660,1430,1330,1470
15-1041,KS,*,5390,5250,4840,4750,4460,4530,4240,4980,4620,4170
15-1051,KS,*,5140,4510,4100,3310,3820,4340,4350,4770,4360,4880
15-1061,KS,*,1000,970,1050,1030,920,960,960,1000,950,950
15-1071,KS,*,4420,4220,4070,3630,3800,3570,2650,2910,2900,3730
15-1081,KS,*,2050,2080,1660,1340,1440,1780,1490,1290,1280,1020
15-1099,KS,*,820,790,660,710,320,340,*,*,*,*
15-1111,KS,70,*,*,*,*,*,*,*,*,*,*
15-1121,KS,4310,*,*,*,*,*,*,*,*,*,*
15-1131,KS,3510,*,*,*,*,*,*,*,*,*,*
15-1132,KS,2840,*,*,*,*,*,*,*,*,*,*
15-1133,KS,3080,*,*,*,*,*,*,*,*,*,*
15-1141,KS,850,*,*,*,*,*,*,*,*,*,*
15-1142,KS,3940,*,*,*,*,*,*,*,*,*,*
15-1150,KS,5460,*,*,*,*,*,*,*,*,*,*
15-1179,KS,1940,*,*,*,*,*,*,*,*,*,*
15-1799,KS,810,*,*,*,*,*,*,*,*,*,*
15-2031,KS,330,360,410,430,340,*,*,*,1370,1370,1620
17-0000,KS,23010,27370,26690,25500,25800,26610,26760,28270,27550,27790,26730
17-2061,KS,150,150,130,150,200,280,370,*,1520,1290,1860
17-2112,KS,1590,1710,2270,2090,2350,2300,2230,1850,1180,1260,940
17-3026,KS,520,610,600,430,410,330,310,350,*,590,820
19-0000,KS,9050,11890,11330,9860,9600,9740,9280,9210,8580,8260,8080
25-1021,KS,360,350,410,590,570,490,530,490,430,410,440
27-0000,KS,16580,16120,16960,16690,16120,15040,14160,14420,13750,13720,13670
27-1014,KS,80,160,150,90,60,70,100,70,90,170,-1
27-1024,KS,1990,2060,2170,2000,2160,1930,1860,1820,1600,1700,1780
27-3042,KS,620,710,720,570,370,330,320,360,300,530,-1
29-2071,KS,2370,2300,2150,2210,2330,2460,2420,1950,2150,1920,2020
41-4011,KS,4670,3700,3420,3630,3720,4040,4230,3640,4190,3820,4240
43-9011,KS,970,1050,1090,1170,1220,1160,1200,1600,2150,2010,1970
43-9021,KS,3920,4140,4180,3810,4890,3970,3890,4440,5300,5610,6190
43-9031,KS,270,380,570,620,920,*,1090,1010,890,*,480
45-0000,KS,-1,2270,1970,2000,2260,2520,2780,2760,1800,1960,1890
49-2011,KS,1200,1020,1070,1470,1610,1550,1680,2010,2040,1920,2250
51-4011,KS,2010,2120,2670,2450,2430,2140,2050,2280,2600,2710,3040
51-4012,KS,350,390,310,230,140,150,140,200,220,220,250
11-3021,KY,2630,2590,2530,2410,2260,2430,2540,2520,2310,2140,1970
13-0000,KY,57280,57030,56800,54160,52270,49470,47750,47230,45470,42300,40090
13-1081,KY,880,840,870,700,740,720,790,*,*,*,*
13-1111,KY,-1,3070,2900,2170,2300,2360,1890,2050,1620,1550,1510
15-0000,KY,26740,27450,28440,26890,23970,23760,23720,24970,23770,24020,20590
15-1011,KY,*,*,*,100,90,-1,40,-1,*,50,40
15-1021,KY,*,2080,2480,2630,2800,3040,3120,3020,3520,3440,3320
15-1031,KY,*,4660,4140,3290,3100,3230,3150,4050,3520,3250,3030
15-1032,KY,*,2080,2370,-1,1330,1170,1040,1140,1110,1480,1410
15-1041,KY,*,5620,5910,5080,4980,4980,5410,6020,5350,5830,3980
15-1051,KY,*,4180,4190,4800,3820,3930,3830,3870,3780,3910,3420
15-1061,KY,*,1250,1580,1650,1350,990,990,990,930,990,1020
15-1071,KY,*,2750,2850,2890,2630,2820,2820,2680,2390,2320,2030
15-1081,KY,*,2790,2810,2510,2190,*,1980,1670,1520,1280,1070
15-1099,KY,*,1420,1440,1300,1220,*,790,*,*,*,*
15-1121,KY,3930,*,*,*,*,*,*,*,*,*,*
15-1131,KY,2180,*,*,*,*,*,*,*,*,*,*
15-1132,KY,4020,*,*,*,*,*,*,*,*,*,*
